45.02橋姫	OH_OO渋谷源氏	1690	1700	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
45.02橋姫	OH_OO渋谷源氏	1700	1710	I	の	の	ノ	助詞-格助詞			ノ	和
45.02橋姫	OH_OO渋谷源氏	1710	1720	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	1720	1740	I	かく	斯く	カク	副詞			カク	和
45.02橋姫	OH_OO渋谷源氏	1740	1760	I	近き	近い	チカイ	形容詞-一般	文語形容詞-ク	連体形-一般	チカキ	和
45.02橋姫	OH_OO渋谷源氏	1760	1780	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
45.02橋姫	OH_OO渋谷源氏	1780	1790	I	に	に	ニ	助詞-格助詞			ニ	和
45.02橋姫	OH_OO渋谷源氏	1790	1810	I	住み	住む	スム	動詞-一般	文語四段-マ行	連用形-一般	スミ	和
45.02橋姫	OH_OO渋谷源氏	1810	1840	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
45.02橋姫	OH_OO渋谷源氏	1840	1850	I	て	て	テ	助詞-接続助詞			テ	和
45.02橋姫	OH_OO渋谷源氏	1850	1860	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	1860	1890	I	寂しき	寂しい	サビシイ	形容詞-一般	文語形容詞-シク	連体形-一般	サムシキ	和
45.02橋姫	OH_OO渋谷源氏	1890	1900	I	御	御	オオン	接頭辞			オオン	和
45.02橋姫	OH_OO渋谷源氏	1900	1920	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
45.02橋姫	OH_OO渋谷源氏	1920	1930	I	に	に	ニ	助詞-格助詞			ニ	和
45.02橋姫	OH_OO渋谷源氏	1930	1940	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	1940	1960	I	尊き	尊い	トウトイ	形容詞-一般	文語形容詞-ク	連体形-一般	トートキ	和
45.02橋姫	OH_OO渋谷源氏	1960	1980	I	わざ	技	ワザ	名詞-普通名詞-一般			ワザ	和
45.02橋姫	OH_OO渋谷源氏	1980	1990	I	を	を	ヲ	助詞-格助詞			オ	和
45.02橋姫	OH_OO渋谷源氏	1990	2000	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
45.02橋姫	OH_OO渋谷源氏	2000	2020	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
45.02橋姫	OH_OO渋谷源氏	2020	2050	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
45.02橋姫	OH_OO渋谷源氏	2050	2070	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
45.02橋姫	OH_OO渋谷源氏	2070	2080	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	2080	2100	I	法文	法文	ホウモン	名詞-普通名詞-一般			ホーモン	漢
45.02橋姫	OH_OO渋谷源氏	2100	2110	I	を	を	ヲ	助詞-格助詞			オ	和
45.02橋姫	OH_OO渋谷源氏	2110	2130	I	読み	読む	ヨム	動詞-一般	文語四段-マ行	連用形-一般	ヨミ	和
45.02橋姫	OH_OO渋谷源氏	2130	2160	I	ならひ	習う	ナラウ	動詞-一般	文語四段-ハ行	連用形-一般	ナライ	和
45.02橋姫	OH_OO渋谷源氏	2160	2190	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
45.02橋姫	OH_OO渋谷源氏	2190	2200	I	ば	ば	バ	助詞-接続助詞			バ	和
45.02橋姫	OH_OO渋谷源氏	2200	2210	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	2210	2220	I	尊	尊い	トウトイ	形容詞-一般	文語形容詞-ク	語幹-一般	トート	和
45.02橋姫	OH_OO渋谷源氏	2220	2240	I	がり	がる	ガル	接尾辞-動詞的	文語四段-ラ行	連用形-一般	ガリ	和
45.02橋姫	OH_OO渋谷源氏	2240	2270	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
45.02橋姫	OH_OO渋谷源氏	2270	2280	I	て	て	テ	助詞-接続助詞			テ	和
45.02橋姫	OH_OO渋谷源氏	2280	2290	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	2290	2300	I	常	常	ツネ	名詞-普通名詞-一般			ツネ	和
45.02橋姫	OH_OO渋谷源氏	2300	2310	I	に	に	ニ	助詞-格助詞			ニ	和
45.02橋姫	OH_OO渋谷源氏	2310	2330	I	参る	参る	マイル	動詞-非自立可能	文語四段-ラ行	終止形-一般	マイル	和
45.02橋姫	OH_OO渋谷源氏	2330	2340	I	。	。		補助記号-句点				記号
45.02橋姫	OH_OO渋谷源氏	2340	2370	B	年ごろ	年頃	トシゴロ	名詞-普通名詞-一般			トシゴロ	和
45.02橋姫	OH_OO渋谷源氏	2370	2390	I	学び	学ぶ	マナブ	動詞-一般	文語四段-バ行	連用形-一般	マナビ	和
45.02橋姫	OH_OO渋谷源氏	2390	2410	I	知り	知る	シル	動詞-一般	文語四段-ラ行	連用形-一般	シリ	和
45.02橋姫	OH_OO渋谷源氏	2410	2440	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
45.02橋姫	OH_OO渋谷源氏	2440	2450	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
45.02橋姫	OH_OO渋谷源氏	2450	2470	I	こと	事	コト	名詞-普通名詞-一般			コト	和
45.02橋姫	OH_OO渋谷源氏	2470	2490	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
45.02橋姫	OH_OO渋谷源氏	2490	2500	I	の	の	ノ	助詞-格助詞			ノ	和
45.02橋姫	OH_OO渋谷源氏	2500	2510	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	2510	2530	I	深き	深い	フカイ	形容詞-一般	文語形容詞-ク	連体形-一般	フカキ	和
45.02橋姫	OH_OO渋谷源氏	2530	2540	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
45.02橋姫	OH_OO渋谷源氏	2540	2550	I	を	を	ヲ	助詞-格助詞			オ	和
