35.10若菜下	OH_OO渋谷源氏	1820	1830	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
35.10若菜下	OH_OO渋谷源氏	1830	1850	I	見え	見える	ミエル	動詞-一般	文語下二段-ヤ行	連用形-一般	ミエ	和
35.10若菜下	OH_OO渋谷源氏	1850	1880	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
35.10若菜下	OH_OO渋谷源氏	1880	1900	I	しか	き	キ	助動詞	文語助動詞-キ	已然形-一般	シカ	和
35.10若菜下	OH_OO渋谷源氏	1900	1910	I	ど	ど	ド	助詞-接続助詞			ド	和
35.10若菜下	OH_OO渋谷源氏	1910	1920	I	、	、		補助記号-読点				記号
35.10若菜下	OH_OO渋谷源氏	1920	1930	I	異	異	コト	名詞-普通名詞-一般			コト	和
35.10若菜下	OH_OO渋谷源氏	1930	1950	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
35.10若菜下	OH_OO渋谷源氏	1950	1970	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
35.10若菜下	OH_OO渋谷源氏	1970	1980	I	に	に	ニ	助詞-格助詞			ニ	和
35.10若菜下	OH_OO渋谷源氏	1980	1990	I	も	も	モ	助詞-係助詞			モ	和
35.10若菜下	OH_OO渋谷源氏	1990	2020	I	おはせ	おわす	オワス	動詞-非自立可能	文語サ行変格	未然形-一般	オワセ	和
35.10若菜下	OH_OO渋谷源氏	2020	2030	I	ね	ず	ズ	助動詞	文語助動詞-ズ	已然形-一般	ネ	和
35.10若菜下	OH_OO渋谷源氏	2030	2040	I	ば	ば	バ	助詞-接続助詞			バ	和
35.10若菜下	OH_OO渋谷源氏	2040	2050	I	、	、		補助記号-読点				記号
35.10若菜下	OH_OO渋谷源氏	2050	2100	I	おのづから	自ずから	オノズカラ	副詞			オノズカラ	和
35.10若菜下	OH_OO渋谷源氏	2100	2140	I	心のどか	心長閑	ココロノドカ	形状詞-一般			ココロノドカ	和
