12.04須磨	OH_OO渋谷源氏	1910	1940	I	けしき	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
12.04須磨	OH_OO渋谷源氏	1940	1950	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	1950	1970	I	内裏	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
12.04須磨	OH_OO渋谷源氏	1970	1980	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	1980	2000	I	主上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
12.04須磨	OH_OO渋谷源氏	2000	2010	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	2010	2030	I	いと	いと	イト	副詞			イト	和
12.04須磨	OH_OO渋谷源氏	2030	2060	I	きよら	清ら	キヨラ	形状詞-一般			キヨラ	和
12.04須磨	OH_OO渋谷源氏	2060	2070	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
12.04須磨	OH_OO渋谷源氏	2070	2090	I	なま	生	ナマ	名詞-普通名詞-形状詞可能			ナマ	和
12.04須磨	OH_OO渋谷源氏	2090	2110	I	めい	めく	メク	接尾辞-動詞的	文語四段-カ行	連用形-イ音便	メイ	和
12.04須磨	OH_OO渋谷源氏	2110	2120	I	て	て	テ	助詞-接続助詞			テ	和
12.04須磨	OH_OO渋谷源氏	2120	2130	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	2130	2140	I	わ	わ	ワ	代名詞			ワ	和
12.04須磨	OH_OO渋谷源氏	2140	2150	I	が	が	ガ	助詞-格助詞			ガ	和
12.04須磨	OH_OO渋谷源氏	2150	2170	I	作れ	作る	ツクル	動詞-一般	文語四段-ラ行	命令形	ツクレ	和
12.04須磨	OH_OO渋谷源氏	2170	2180	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
12.04須磨	OH_OO渋谷源氏	2180	2190	I	句	句	ク	名詞-普通名詞-一般			ク	漢
12.04須磨	OH_OO渋谷源氏	2190	2200	I	を	を	ヲ	助詞-格助詞			オ	和
12.04須磨	OH_OO渋谷源氏	2200	2220	I	誦じ	誦する	ジュスル	動詞-一般	文語サ行変格	連用形-一般	ズンジ	混
12.04須磨	OH_OO渋谷源氏	2220	2250	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
12.04須磨	OH_OO渋谷源氏	2250	2260	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
12.04須磨	OH_OO渋谷源氏	2260	2270	I	」	」		補助記号-括弧閉				記号
12.04須磨	OH_OO渋谷源氏	2270	2280	I	も	も	モ	助詞-係助詞			モ	和
12.04須磨	OH_OO渋谷源氏	2280	2290	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	2290	2310	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
12.04須磨	OH_OO渋谷源氏	2310	2330	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
12.04須磨	OH_OO渋谷源氏	2330	2360	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
12.04須磨	OH_OO渋谷源氏	2360	2390	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
12.04須磨	OH_OO渋谷源氏	2390	2400	I	。	。		補助記号-句点				記号
12.04須磨	OH_OO渋谷源氏	2400	2410	B	「	「		補助記号-括弧開				記号
12.04須磨	OH_OO渋谷源氏	2410	2430	I	いつ	何時	イツ	代名詞			イツ	和
12.04須磨	OH_OO渋谷源氏	2430	2440	I	と	と	ト	助詞-格助詞			ト	和
12.04須磨	OH_OO渋谷源氏	2440	2460	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
12.04須磨	OH_OO渋谷源氏	2460	2480	I	大宮	大宮	オオミヤ	名詞-普通名詞-一般			オーミヤ	和
12.04須磨	OH_OO渋谷源氏	2480	2490	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
12.04須磨	OH_OO渋谷源氏	2490	2500	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	2500	2530	I	恋しき	恋しい	コイシイ	形容詞-一般	文語形容詞-シク	連体形-一般	コイシキ	和
12.04須磨	OH_OO渋谷源氏	2530	2540	I	に	に	ニ	助詞-格助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	2540	2550	I	桜	桜	サクラ	名詞-普通名詞-一般			サクラ	和
12.04須磨	OH_OO渋谷源氏	2550	2580	I	かざし	挿頭す	カザス	動詞-一般	文語四段-サ行	連用形-一般	カザシ	和
12.04須磨	OH_OO渋谷源氏	2580	2590	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
12.04須磨	OH_OO渋谷源氏	2590	2610	I	今日	今日	キョウ	名詞-普通名詞-副詞可能			キョー	和
12.04須磨	OH_OO渋谷源氏	2610	2620	I	も	も	モ	助詞-係助詞			モ	和
12.04須磨	OH_OO渋谷源氏	2620	2630	I	来	来る	クル	動詞-非自立可能	文語カ行変格	連用形-一般	キ	和
12.04須磨	OH_OO渋谷源氏	2630	2640	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
12.04須磨	OH_OO渋谷源氏	2640	2660	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
12.04須磨	OH_OO渋谷源氏	2660	2670	I	」	」		補助記号-括弧閉				記号
12.04須磨	OH_OO渋谷源氏	2670	2690	B	いと	いと	イト	副詞			イト	和
12.04須磨	OH_OO渋谷源氏	2690	2730	I	つれづれ	徒然	ツレヅレ	名詞-普通名詞-形状詞可能			ツレズレ	和
12.04須磨	OH_OO渋谷源氏	2730	2750	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
12.04須磨	OH_OO渋谷源氏	2750	2760	I	に	に	ニ	助詞-接続助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	2760	2770	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	2770	2790	I	大殿	大殿	オオトノ	名詞-普通名詞-一般			オートノ	和
12.04須磨	OH_OO渋谷源氏	2790	2800	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	2800	2820	I	三位	三位	サンミ	名詞-普通名詞-一般			サンミ	漢
12.04須磨	OH_OO渋谷源氏	2820	2840	I	中将	中将	チュウジョウ	名詞-普通名詞-一般			チュージョー	漢
12.04須磨	OH_OO渋谷源氏	2840	2850	I	は	は	ハ	助詞-係助詞			ワ	和
12.04須磨	OH_OO渋谷源氏	2850	2860	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	2860	2870	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
12.04須磨	OH_OO渋谷源氏	2870	2880	I	は	は	ハ	助詞-係助詞			ワ	和
12.04須磨	OH_OO渋谷源氏	2880	2900	I	宰相	宰相	サイショウ	名詞-普通名詞-一般			サイショー	漢
12.04須磨	OH_OO渋谷源氏	2900	2910	I	に	に	ニ	助詞-格助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	2910	2930	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
12.04須磨	OH_OO渋谷源氏	2930	2940	I	て	て	テ	助詞-接続助詞			テ	和
12.04須磨	OH_OO渋谷源氏	2940	2950	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	2950	2970	I	人柄	人柄	ヒトガラ	名詞-普通名詞-一般			ヒトガラ	和
12.04須磨	OH_OO渋谷源氏	2970	2980	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	2980	3000	I	いと	いと	イト	副詞			イト	和
12.04須磨	OH_OO渋谷源氏	3000	3030	I	よけれ	良い	ヨイ	形容詞-非自立可能	文語形容詞-ク	已然形-一般	ヨケレ	和
12.04須磨	OH_OO渋谷源氏	3030	3040	I	ば	ば	バ	助詞-接続助詞			バ	和
12.04須磨	OH_OO渋谷源氏	3040	3050	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	3050	3070	I	時世	時世	トキヨ	名詞-普通名詞-一般			トキヨ	和
12.04須磨	OH_OO渋谷源氏	3070	3080	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	3080	3110	I	おぼえ	覚え	オボエ	名詞-普通名詞-一般			オボエ	和
12.04須磨	OH_OO渋谷源氏	3110	3130	I	重く	重い	オモイ	形容詞-一般	文語形容詞-ク	連用形-一般	オモク	和
12.04須磨	OH_OO渋谷源氏	3130	3140	I	て	て	テ	助詞-接続助詞			テ	和
12.04須磨	OH_OO渋谷源氏	3140	3170	I	ものし	ものする	モノスル	動詞-非自立可能	文語サ行変格	連用形-一般	モノシ	和
12.04須磨	OH_OO渋谷源氏	3170	3200	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
12.04須磨	OH_OO渋谷源氏	3200	3210	I	ど	ど	ド	助詞-接続助詞			ド	和
12.04須磨	OH_OO渋谷源氏	3210	3220	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	3220	3230	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
12.04須磨	OH_OO渋谷源氏	3230	3240	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	3240	3250	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
12.04須磨	OH_OO渋谷源氏	3250	3280	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
12.04須磨	OH_OO渋谷源氏	3280	3290	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
12.04須磨	OH_OO渋谷源氏	3290	3340	I	あぢきなく	味気無い	アジキナイ	形容詞-一般	文語形容詞-ク	連用形-一般	アジキナク	和
12.04須磨	OH_OO渋谷源氏	3340	3350	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	3350	3370	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
12.04須磨	OH_OO渋谷源氏	3370	3380	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	3380	3390	I	折	折	オリ	名詞-普通名詞-副詞可能			オリ	和
12.04須磨	OH_OO渋谷源氏	3390	3410	I	ごと	毎	ゴト	接尾辞-名詞的-一般			ゴト	和
12.04須磨	OH_OO渋谷源氏	3410	3420	I	に	に	ニ	助詞-格助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	3420	3450	I	恋しく	恋しい	コイシイ	形容詞-一般	文語形容詞-シク	連用形-一般	コイシク	和
12.04須磨	OH_OO渋谷源氏	3450	3480	I	おぼえ	覚える	オボエル	動詞-一般	文語下二段-ヤ行	連用形-一般	オボエ	和
12.04須磨	OH_OO渋谷源氏	3480	3510	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
12.04須磨	OH_OO渋谷源氏	3510	3520	I	ば	ば	バ	助詞-接続助詞			バ	和
12.04須磨	OH_OO渋谷源氏	3520	3530	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	3530	3540	I	「	「		補助記号-括弧開				記号
12.04須磨	OH_OO渋谷源氏	3540	3560	I	こと	事	コト	名詞-普通名詞-一般			コト	和
12.04須磨	OH_OO渋谷源氏	3560	3570	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	3570	3600	I	聞こえ	聞こえ	キコエ	名詞-普通名詞-一般			キコエ	和
12.04須磨	OH_OO渋谷源氏	3600	3620	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
12.04須磨	OH_OO渋谷源氏	3620	3630	I	て	て	テ	助詞-接続助詞			テ	和
12.04須磨	OH_OO渋谷源氏	3630	3640	I	罪	罪	ツミ	名詞-普通名詞-一般			ツミ	和
12.04須磨	OH_OO渋谷源氏	3640	3650	I	に	に	ニ	助詞-格助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	3650	3680	I	当たる	当たる	アタル	動詞-一般	文語四段-ラ行	終止形-一般	アタル	和
12.04須磨	OH_OO渋谷源氏	3680	3700	I	とも	とも	トモ	助詞-接続助詞			トモ	和
12.04須磨	OH_OO渋谷源氏	3700	3730	I	いかが	如何	イカガ	副詞			イカガ	和
12.04須磨	OH_OO渋谷源氏	3730	3740	I	は	は	ハ	助詞-係助詞			ワ	和
12.04須磨	OH_OO渋谷源氏	3740	3750	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
12.04須磨	OH_OO渋谷源氏	3750	3760	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
12.04須磨	OH_OO渋谷源氏	3760	3770	I	」	」		補助記号-括弧閉				記号
12.04須磨	OH_OO渋谷源氏	3770	3780	I	と	と	ト	助詞-格助詞			ト	和
12.04須磨	OH_OO渋谷源氏	3780	3800	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
12.04須磨	OH_OO渋谷源氏	3800	3820	I	なし	成す	ナス	動詞-一般	文語四段-サ行	連用形-一般	ナシ	和
12.04須磨	OH_OO渋谷源氏	3820	3830	I	て	て	テ	助詞-接続助詞			テ	和
12.04須磨	OH_OO渋谷源氏	3830	3840	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	3840	3870	I	にはか	俄か	ニワカ	形状詞-一般			ニワカ	和
12.04須磨	OH_OO渋谷源氏	3870	3880	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
12.04須磨	OH_OO渋谷源氏	3880	3910	I	参うで	詣でる	モウデル	動詞-一般	文語下二段-ダ行	連用形-一般	モーデ	和
12.04須磨	OH_OO渋谷源氏	3910	3940	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
12.04須磨	OH_OO渋谷源氏	3940	3950	I	。	。		補助記号-句点				記号
12.04須磨	OH_OO渋谷源氏	3950	3970	B	うち	打ち	ウチ	接頭辞			ウチ	和
12.04須磨	OH_OO渋谷源氏	3970	3990	I	見る	見る	ミル	動詞-非自立可能	文語上一段-マ行	連体形-一般	ミル	和
12.04須磨	OH_OO渋谷源氏	3990	4010	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
12.04須磨	OH_OO渋谷源氏	4010	4020	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	4020	4070	I	めづらしう	珍しい	メズラシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	メズラシュー	和
12.04須磨	OH_OO渋谷源氏	4070	4110	I	うれしき	嬉しい	ウレシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ウレシキ	和
12.04須磨	OH_OO渋谷源氏	4110	4120	I	に	に	ニ	助詞-格助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	4120	4130	I	も	も	モ	助詞-係助詞			モ	和
12.04須磨	OH_OO渋谷源氏	4130	4140	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	4140	4160	I	ひと	一	ヒト	名詞-数詞			ヒト	和
12.04須磨	OH_OO渋谷源氏	4160	4170	I	つ	つ	ツ	接尾辞-名詞的-助数詞			ツ	和
12.04須磨	OH_OO渋谷源氏	4170	4180	I	涙	涙	ナミダ	名詞-普通名詞-サ変可能			ナミダ	和
12.04須磨	OH_OO渋谷源氏	4180	4190	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
12.04須磨	OH_OO渋谷源氏	4190	4220	I	こぼれ	零れる	コボレル	動詞-一般	文語下二段-ラ行	連用形-一般	コボレ	和
12.04須磨	OH_OO渋谷源氏	4220	4240	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
12.04須磨	OH_OO渋谷源氏	4240	4250	I	。	。		補助記号-句点				記号
12.04須磨	OH_OO渋谷源氏	4250	4280	B	住まひ	住まう	スマウ	動詞-一般	文語四段-ハ行	連用形-一般	スマイ	和
12.04須磨	OH_OO渋谷源氏	4280	4310	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
12.04須磨	OH_OO渋谷源氏	4310	4320	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
12.04須磨	OH_OO渋谷源氏	4320	4340	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
12.04須磨	OH_OO渋谷源氏	4340	4350	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	4350	4370	I	言は	言う	イウ	動詞-一般	文語四段-ハ行	未然形-一般	イワ	和
12.04須磨	OH_OO渋谷源氏	4370	4380	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
12.04須磨	OH_OO渋谷源氏	4380	4400	I	かた	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
