50.01東屋	OH_OO渋谷源氏	2020	2040	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
50.01東屋	OH_OO渋谷源氏	2040	2050	I	て	て	テ	助詞-接続助詞			テ	和
50.01東屋	OH_OO渋谷源氏	2050	2060	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	2060	2070	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
50.01東屋	OH_OO渋谷源氏	2070	2080	I	の	の	ノ	助詞-格助詞			ノ	和
50.01東屋	OH_OO渋谷源氏	2080	2090	I	御	御	オオン	接頭辞			オオン	和
50.01東屋	OH_OO渋谷源氏	2090	2110	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
50.01東屋	OH_OO渋谷源氏	2110	2120	I	の	の	ノ	助詞-格助詞			ノ	和
50.01東屋	OH_OO渋谷源氏	2120	2150	I	ただ今	只今	タダイマ	名詞-普通名詞-副詞可能			タダイマ	和
50.01東屋	OH_OO渋谷源氏	2150	2160	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
50.01東屋	OH_OO渋谷源氏	2160	2170	I	に	に	ニ	助詞-格助詞			ニ	和
50.01東屋	OH_OO渋谷源氏	2170	2190	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
50.01東屋	OH_OO渋谷源氏	2190	2210	I	がた	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	語幹-一般	ガタ	和
50.01東屋	OH_OO渋谷源氏	2210	2220	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
50.01東屋	OH_OO渋谷源氏	2220	2240	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
50.01東屋	OH_OO渋谷源氏	2240	2250	I	を	を	ヲ	助詞-格助詞			オ	和
50.01東屋	OH_OO渋谷源氏	2250	2260	I	も	も	モ	助詞-係助詞			モ	和
50.01東屋	OH_OO渋谷源氏	2260	2270	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	2270	2280	I	数	数	カズ	名詞-普通名詞-一般			カズ	和
50.01東屋	OH_OO渋谷源氏	2280	2300	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
50.01東屋	OH_OO渋谷源氏	2300	2330	I	ましか	まし	マシ	助動詞	文語助動詞-マシ	未然形-一般	マシカ	和
50.01東屋	OH_OO渋谷源氏	2330	2340	I	ば	ば	バ	助詞-接続助詞			バ	和
50.01東屋	OH_OO渋谷源氏	2340	2350	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	2350	2370	I	など	など	ナド	助詞-副助詞			ナド	和
50.01東屋	OH_OO渋谷源氏	2370	2380	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
50.01東屋	OH_OO渋谷源氏	2380	2410	I	よろづ	万	ヨロズ	名詞-普通名詞-副詞可能			ヨロズ	和
50.01東屋	OH_OO渋谷源氏	2410	2420	I	に	に	ニ	助詞-格助詞			ニ	和
50.01東屋	OH_OO渋谷源氏	2420	2440	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
50.01東屋	OH_OO渋谷源氏	2440	2460	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
50.01東屋	OH_OO渋谷源氏	2460	2470	I	。	。		補助記号-句点				記号
50.01東屋	OH_OO渋谷源氏	2470	2480	B	守	守	カミ	名詞-普通名詞-一般			カミ	和
50.01東屋	OH_OO渋谷源氏	2480	2490	I	の	の	ノ	助詞-格助詞			ノ	和
50.01東屋	OH_OO渋谷源氏	2490	2500	I	子	子	コ	名詞-普通名詞-一般			コ	和
50.01東屋	OH_OO渋谷源氏	2500	2520	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
50.01東屋	OH_OO渋谷源氏	2520	2530	I	は	は	ハ	助詞-係助詞			ワ	和
50.01東屋	OH_OO渋谷源氏	2530	2540	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	2540	2550	I	母	母	ハハ	名詞-普通名詞-一般			ハハ	和
50.01東屋	OH_OO渋谷源氏	2550	2590	I	亡くなり	亡くなる	ナクナル	動詞-一般	文語四段-ラ行	連用形-一般	ナクナリ	和
50.01東屋	OH_OO渋谷源氏	2590	2600	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
50.01東屋	OH_OO渋谷源氏	2600	2620	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
50.01東屋	OH_OO渋谷源氏	2620	2640	I	など	など	ナド	助詞-副助詞			ナド	和
50.01東屋	OH_OO渋谷源氏	2640	2650	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	2650	2680	I	あまた	数多	アマタ	名詞-普通名詞-一般			アマタ	和
50.01東屋	OH_OO渋谷源氏	2680	2690	I	，	，		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	2690	2700	I	こ	是	コ	代名詞			コ	和
50.01東屋	OH_OO渋谷源氏	2700	2710	I	の	の	ノ	助詞-格助詞			ノ	和
50.01東屋	OH_OO渋谷源氏	2710	2720	I	腹	腹	ハラ	名詞-普通名詞-一般			ハラ	和
50.01東屋	OH_OO渋谷源氏	2720	2730	I	に	に	ニ	助詞-格助詞			ニ	和
50.01東屋	OH_OO渋谷源氏	2730	2740	I	も	も	モ	助詞-係助詞			モ	和
50.01東屋	OH_OO渋谷源氏	2740	2750	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	2750	2760	I	姫	姫	ヒメ	名詞-普通名詞-一般			ヒメ	和
50.01東屋	OH_OO渋谷源氏	2760	2770	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
50.01東屋	OH_OO渋谷源氏	2770	2780	I	と	と	ト	助詞-格助詞			ト	和
50.01東屋	OH_OO渋谷源氏	2780	2800	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
50.01東屋	OH_OO渋谷源氏	2800	2810	I	て	て	テ	助詞-接続助詞			テ	和
50.01東屋	OH_OO渋谷源氏	2810	2850	I	かしづく	傅く	カシズク	動詞-一般	文語四段-カ行	連体形-一般	カシズク	和
50.01東屋	OH_OO渋谷源氏	2850	2870	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
50.01東屋	OH_OO渋谷源氏	2870	2880	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	2880	2900	I	まだ	未だ	マダ	副詞			マダ	和
50.01東屋	OH_OO渋谷源氏	2900	2920	I	幼き	幼い	オサナイ	形容詞-一般	文語形容詞-ク	連体形-一般	オサナキ	和
50.01東屋	OH_OO渋谷源氏	2920	2940	I	など	など	ナド	助詞-副助詞			ナド	和
50.01東屋	OH_OO渋谷源氏	2940	2950	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	2950	2990	I	すぎすぎ	次々	スギスギ	副詞			スギスギ	和
50.01東屋	OH_OO渋谷源氏	2990	3000	I	に	に	ニ	助詞-格助詞			ニ	和
50.01東屋	OH_OO渋谷源氏	3000	3010	I	五	五	ゴ	名詞-数詞			ゴ	漢
50.01東屋	OH_OO渋谷源氏	3010	3020	I	，	，		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	3020	3030	I	六	六	ロク	名詞-数詞			ロク	漢
50.01東屋	OH_OO渋谷源氏	3030	3040	I	人	人	ニン	接尾辞-名詞的-一般			ニン	漢
50.01東屋	OH_OO渋谷源氏	3040	3060	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
50.01東屋	OH_OO渋谷源氏	3060	3080	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
50.01東屋	OH_OO渋谷源氏	3080	3090	I	ば	ば	バ	助詞-接続助詞			バ	和
