39.04夕霧	OH_OO渋谷源氏	1600	1620	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
39.04夕霧	OH_OO渋谷源氏	1620	1640	I	念仏	念仏	ネンブツ	名詞-普通名詞-サ変可能			ネンブツ	漢
39.04夕霧	OH_OO渋谷源氏	1640	1650	I	の	の	ノ	助詞-格助詞			ノ	和
39.04夕霧	OH_OO渋谷源氏	1650	1660	I	僧	僧	ソウ	名詞-普通名詞-一般			ソー	漢
39.04夕霧	OH_OO渋谷源氏	1660	1680	I	など	など	ナド	助詞-副助詞			ナド	和
39.04夕霧	OH_OO渋谷源氏	1680	1690	I	、	、		補助記号-読点				記号
39.04夕霧	OH_OO渋谷源氏	1690	1710	I	慰む	慰む	ナグサム	動詞-一般	文語四段-マ行	連体形-一般	ナグサム	和
39.04夕霧	OH_OO渋谷源氏	1710	1740	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
39.04夕霧	OH_OO渋谷源氏	1740	1750	I	、	、		補助記号-読点				記号
39.04夕霧	OH_OO渋谷源氏	1750	1780	I	よろづ	万	ヨロズ	名詞-普通名詞-副詞可能			ヨロズ	和
39.04夕霧	OH_OO渋谷源氏	1780	1790	I	の	の	ノ	助詞-格助詞			ノ	和
39.04夕霧	OH_OO渋谷源氏	1790	1800	I	物	物	モノ	名詞-普通名詞-サ変可能			モノ	和
39.04夕霧	OH_OO渋谷源氏	1800	1810	I	を	を	ヲ	助詞-格助詞			オ	和
39.04夕霧	OH_OO渋谷源氏	1810	1840	I	遣はし	遣わす	ツカワス	動詞-一般	文語四段-サ行	連用形-一般	ツカワシ	和
39.04夕霧	OH_OO渋谷源氏	1840	1870	I	訪らは	訪う	トブラウ	動詞-一般	文語四段-ハ行	未然形-一般	トブラワ	和
39.04夕霧	OH_OO渋谷源氏	1870	1880	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
39.04夕霧	OH_OO渋谷源氏	1880	1910	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
39.04夕霧	OH_OO渋谷源氏	1910	1920	I	、	、		補助記号-読点				記号
39.04夕霧	OH_OO渋谷源氏	1920	1930	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
39.04夕霧	OH_OO渋谷源氏	1930	1940	I	の	の	ノ	助詞-格助詞			ノ	和
