49.07宿木	OH_OO渋谷源氏	1820	1830	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
49.07宿木	OH_OO渋谷源氏	1830	1840	I	。	。		補助記号-句点				記号
49.07宿木	OH_OO渋谷源氏	1840	1850	B	「	「		補助記号-括弧開				記号
49.07宿木	OH_OO渋谷源氏	1850	1870	I	いと	いと	イト	副詞			イト	和
49.07宿木	OH_OO渋谷源氏	1870	1920	I	かしこけれ	賢い	カシコイ	形容詞-一般	文語形容詞-ク	已然形-一般	カシコケレ	和
49.07宿木	OH_OO渋谷源氏	1920	1930	I	ど	ど	ド	助詞-接続助詞			ド	和
49.07宿木	OH_OO渋谷源氏	1930	1940	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	1940	1970	I	まして	況して	マシテ	副詞			マシテ	和
49.07宿木	OH_OO渋谷源氏	1970	1990	I	いと	いと	イト	副詞			イト	和
49.07宿木	OH_OO渋谷源氏	1990	2020	I	恐ろし	恐ろしい	オソロシイ	形容詞-一般	文語形容詞-シク	語幹-一般	オソロシ	和
49.07宿木	OH_OO渋谷源氏	2020	2030	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
49.07宿木	OH_OO渋谷源氏	2030	2040	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
49.07宿木	OH_OO渋谷源氏	2040	2070	I	はべれ	侍る	ハベル	動詞-非自立可能	文語ラ行変格	已然形-一般	ハベレ	和
49.07宿木	OH_OO渋谷源氏	2070	2080	I	ば	ば	バ	助詞-接続助詞			バ	和
49.07宿木	OH_OO渋谷源氏	2080	2090	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	2090	2140	I	つつましく	慎ましい	ツツマシイ	形容詞-一般	文語形容詞-シク	連用形-一般	ツツマシク	和
49.07宿木	OH_OO渋谷源氏	2140	2150	I	て	て	テ	助詞-接続助詞			テ	和
49.07宿木	OH_OO渋谷源氏	2150	2170	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
49.07宿木	OH_OO渋谷源氏	2170	2180	I	」	」		補助記号-括弧閉				記号
49.07宿木	OH_OO渋谷源氏	2180	2190	B	と	と	ト	助詞-格助詞			ト	和
49.07宿木	OH_OO渋谷源氏	2190	2200	I	，	，		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	2200	2220	I	まほ	真秀	マホ	形状詞-一般			マホ	和
