30.02藤袴	OH_OO渋谷源氏	1550	1570	I	消息	消息	ショウソク	名詞-普通名詞-一般			ショーソコ	漢
30.02藤袴	OH_OO渋谷源氏	1570	1590	I	など	など	ナド	助詞-副助詞			ナド	和
30.02藤袴	OH_OO渋谷源氏	1590	1600	I	も	も	モ	助詞-係助詞			モ	和
30.02藤袴	OH_OO渋谷源氏	1600	1630	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
30.02藤袴	OH_OO渋谷源氏	1630	1660	I	交はし	交わす	カワス	動詞-非自立可能	文語四段-サ行	連用形-一般	カワシ	和
30.02藤袴	OH_OO渋谷源氏	1660	1690	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
30.02藤袴	OH_OO渋谷源氏	1690	1710	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
30.02藤袴	OH_OO渋谷源氏	1710	1720	I	ば	ば	バ	助詞-接続助詞			バ	和
30.02藤袴	OH_OO渋谷源氏	1720	1730	I	、	、		補助記号-読点				記号
30.02藤袴	OH_OO渋谷源氏	1730	1740	I	月	月	ツキ	名詞-普通名詞-助数詞可能			ツキ	和
30.02藤袴	OH_OO渋谷源氏	1740	1750	I	の	の	ノ	助詞-格助詞			ノ	和
30.02藤袴	OH_OO渋谷源氏	1750	1780	I	明かき	明い	アカイ	形容詞-一般	文語形容詞-ク	連体形-一般	アカキ	和
30.02藤袴	OH_OO渋谷源氏	1780	1790	I	夜	夜	ヨ	名詞-普通名詞-一般			ヨ	和
30.02藤袴	OH_OO渋谷源氏	1790	1800	I	、	、		補助記号-読点				記号
30.02藤袴	OH_OO渋谷源氏	1800	1810	I	桂	桂	カツラ	名詞-普通名詞-一般			カツラ	和
30.02藤袴	OH_OO渋谷源氏	1810	1820	I	の	の	ノ	助詞-格助詞			ノ	和
30.02藤袴	OH_OO渋谷源氏	1820	1830	I	蔭	陰	カゲ	名詞-普通名詞-一般			カゲ	和
30.02藤袴	OH_OO渋谷源氏	1830	1840	I	に	に	ニ	助詞-格助詞			ニ	和
30.02藤袴	OH_OO渋谷源氏	1840	1860	I	隠れ	隠れる	カクレル	動詞-一般	文語下二段-ラ行	連用形-一般	カクレ	和
30.02藤袴	OH_OO渋谷源氏	1860	1870	I	て	て	テ	助詞-接続助詞			テ	和
30.02藤袴	OH_OO渋谷源氏	1870	1900	I	ものし	ものする	モノスル	動詞-非自立可能	文語サ行変格	連用形-一般	モノシ	和
30.02藤袴	OH_OO渋谷源氏	1900	1930	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
30.02藤袴	OH_OO渋谷源氏	1930	1940	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
30.02藤袴	OH_OO渋谷源氏	1940	1950	I	。	。		補助記号-句点				記号
30.02藤袴	OH_OO渋谷源氏	1950	1960	B	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
30.02藤袴	OH_OO渋谷源氏	1960	1980	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
