34.09若菜上	OH_OO渋谷源氏	1530	1550	I	祈り	祈り	イノリ	名詞-普通名詞-一般			イノリ	和
34.09若菜上	OH_OO渋谷源氏	1550	1570	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
34.09若菜上	OH_OO渋谷源氏	1570	1580	I	。	。		補助記号-句点				記号
34.09若菜上	OH_OO渋谷源氏	1580	1610	B	上達部	上達部	カンダチメ	名詞-普通名詞-一般			カンダチメ	和
34.09若菜上	OH_OO渋谷源氏	1610	1630	I	いと	いと	イト	副詞			イト	和
34.09若菜上	OH_OO渋谷源氏	1630	1650	I	多く	多い	オオイ	形容詞-一般	文語形容詞-ク	連用形-一般	オーク	和
34.09若菜上	OH_OO渋谷源氏	1650	1670	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
34.09若菜上	OH_OO渋谷源氏	1670	1700	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
34.09若菜上	OH_OO渋谷源氏	1700	1710	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
34.09若菜上	OH_OO渋谷源氏	1710	1720	I	。	。		補助記号-句点				記号
34.09若菜上	OH_OO渋谷源氏	1720	1740	B	御堂	御堂	ミドウ	名詞-普通名詞-一般			ミドー	混
34.09若菜上	OH_OO渋谷源氏	1740	1750	I	の	の	ノ	助詞-格助詞			ノ	和
34.09若菜上	OH_OO渋谷源氏	1750	1770	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
34.09若菜上	OH_OO渋谷源氏	1770	1780	I	、	、		補助記号-読点				記号
34.09若菜上	OH_OO渋谷源氏	1780	1830	I	おもしろく	面白い	オモシロイ	形容詞-一般	文語形容詞-ク	連用形-一般	オモシロク	和
34.09若菜上	OH_OO渋谷源氏	1830	1850	I	いは	言う	イウ	動詞-一般	文語四段-ハ行	未然形-一般	イワ	和
34.09若菜上	OH_OO渋谷源氏	1850	1860	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
34.09若菜上	OH_OO渋谷源氏	1860	1880	I	かた	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
34.09若菜上	OH_OO渋谷源氏	1880	1900	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
