51.03浮舟	OH_OO渋谷源氏	3480	3490	I	」	」		補助記号-括弧閉				記号
51.03浮舟	OH_OO渋谷源氏	3490	3500	B	と	と	ト	助詞-格助詞			ト	和
51.03浮舟	OH_OO渋谷源氏	3500	3540	I	のたまふ	宣う	ノタマウ	動詞-一般	文語四段-ハ行	終止形-一般	ノタマウ	和
51.03浮舟	OH_OO渋谷源氏	3540	3550	I	。	。		補助記号-句点				記号
51.03浮舟	OH_OO渋谷源氏	3550	3560	B	「	「		補助記号-括弧開				記号
51.03浮舟	OH_OO渋谷源氏	3560	3600	I	けしから	怪しい	ケシイ	形容詞-一般	文語形容詞-シク	未然形-補助	ケシカラ	和
51.03浮舟	OH_OO渋谷源氏	3600	3610	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
51.03浮舟	OH_OO渋谷源氏	3610	3630	I	こと	事	コト	名詞-普通名詞-一般			コト	和
51.03浮舟	OH_OO渋谷源氏	3630	3640	I	を	を	ヲ	助詞-格助詞			オ	和
51.03浮舟	OH_OO渋谷源氏	3640	3650	I	も	も	モ	助詞-係助詞			モ	和
51.03浮舟	OH_OO渋谷源氏	3650	3660	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	3660	3700	I	まめやか	まめやか	マメヤカ	形状詞-一般			マメヤカ	和
51.03浮舟	OH_OO渋谷源氏	3700	3710	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
51.03浮舟	OH_OO渋谷源氏	3710	3730	I	さへ	さえ	サエ	助詞-副助詞			サエ	和
51.03浮舟	OH_OO渋谷源氏	3730	3770	I	のたまふ	宣う	ノタマウ	動詞-一般	文語四段-ハ行	終止形-一般	ノタマウ	和
51.03浮舟	OH_OO渋谷源氏	3770	3790	I	かな	哉	カナ	助詞-終助詞			カナ	和
51.03浮舟	OH_OO渋谷源氏	3790	3800	I	」	」		補助記号-括弧閉				記号
51.03浮舟	OH_OO渋谷源氏	3800	3810	I	と	と	ト	助詞-格助詞			ト	和
51.03浮舟	OH_OO渋谷源氏	3810	3830	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
51.03浮舟	OH_OO渋谷源氏	3830	3840	I	て	て	テ	助詞-接続助詞			テ	和
51.03浮舟	OH_OO渋谷源氏	3840	3850	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	3850	3860	B	「	「		補助記号-括弧開				記号
51.03浮舟	OH_OO渋谷源氏	3860	3880	I	かう	斯く	カク	副詞			コー	和
51.03浮舟	OH_OO渋谷源氏	3880	3900	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
51.03浮舟	OH_OO渋谷源氏	3900	3930	I	にくき	難い	ニクイ	接尾辞-形容詞的	文語形容詞-ク	連体形-一般	ニクキ	和
51.03浮舟	OH_OO渋谷源氏	3930	3950	I	こと	事	コト	名詞-普通名詞-一般			コト	和
51.03浮舟	OH_OO渋谷源氏	3950	3960	I	の	の	ノ	助詞-格助詞			ノ	和
51.03浮舟	OH_OO渋谷源氏	3960	3980	I	漏り	漏る	モル	動詞-一般	文語四段-ラ行	連用形-一般	モリ	和
51.03浮舟	OH_OO渋谷源氏	3980	3990	I	て	て	テ	助詞-接続助詞			テ	和
51.03浮舟	OH_OO渋谷源氏	3990	4020	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
51.03浮舟	OH_OO渋谷源氏	4020	4040	I	たら	たり	タリ	助動詞	文語助動詞-タリ-完了	未然形-一般	タラ	和
51.03浮舟	OH_OO渋谷源氏	4040	4050	I	ば	ば	バ	助詞-接続助詞			バ	和
51.03浮舟	OH_OO渋谷源氏	4050	4060	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	4060	4100	I	いかやう	如何様	イカヨウ	形状詞-一般			イカヨー	混
51.03浮舟	OH_OO渋谷源氏	4100	4110	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
51.03浮舟	OH_OO渋谷源氏	4110	4140	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
