32.02梅枝	OH_OO渋谷源氏	1750	1770	B	大臣	大臣	オトド	名詞-普通名詞-一般			オトド	和
32.02梅枝	OH_OO渋谷源氏	1770	1780	I	、	、		補助記号-読点				記号
32.02梅枝	OH_OO渋谷源氏	1780	1790	B	「	「		補助記号-括弧開				記号
32.02梅枝	OH_OO渋谷源氏	1790	1810	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
32.02梅枝	OH_OO渋谷源氏	1810	1830	I	捨つ	捨てる	ステル	動詞-一般	文語下二段-タ行	終止形-一般	スツ	和
32.02梅枝	OH_OO渋谷源氏	1830	1860	I	まじき	まじ	マジ	助動詞	文語助動詞-マジ	連体形-一般	マジキ	和
32.02梅枝	OH_OO渋谷源氏	1860	1870	I	を	を	ヲ	助詞-格助詞			オ	和
32.02梅枝	OH_OO渋谷源氏	1870	1890	I	頼み	頼み	タノミ	名詞-普通名詞-一般			タノミ	和
32.02梅枝	OH_OO渋谷源氏	1890	1900	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
32.02梅枝	OH_OO渋谷源氏	1900	1910	I	て	て	テ	助詞-接続助詞			テ	和
32.02梅枝	OH_OO渋谷源氏	1910	1920	I	、	、		補助記号-読点				記号
32.02梅枝	OH_OO渋谷源氏	1920	1940	I	なめ	無礼い	ナメイ	形容詞-一般	文語形容詞-ク	語幹-一般	ナメ	和
32.02梅枝	OH_OO渋谷源氏	1940	1950	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
32.02梅枝	OH_OO渋谷源氏	1950	1970	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
32.02梅枝	OH_OO渋谷源氏	1970	1980	I	姿	姿	スガタ	名詞-普通名詞-一般			スガタ	和
32.02梅枝	OH_OO渋谷源氏	1980	1990	I	を	を	ヲ	助詞-格助詞			オ	和
32.02梅枝	OH_OO渋谷源氏	1990	2000	I	、	、		補助記号-読点				記号
32.02梅枝	OH_OO渋谷源氏	2000	2020	I	進み	進む	ススム	動詞-一般	文語四段-マ行	連用形-一般	ススミ	和
32.02梅枝	OH_OO渋谷源氏	2020	2040	I	御覧	御覧	ゴラン	名詞-普通名詞-一般			ゴラン	漢
