09.03葵	OH_OO渋谷源氏	1920	1940	I	納言	納言	ナゴン	名詞-普通名詞-一般			ナゴン	漢
09.03葵	OH_OO渋谷源氏	1940	1950	I	が	が	ガ	助詞-格助詞			ガ	和
09.03葵	OH_OO渋谷源氏	1950	1990	I	もてなし	持て成し	モテナシ	名詞-普通名詞-一般			モテナシ	和
09.03葵	OH_OO渋谷源氏	1990	2000	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	2000	2050	I	心もとなき	心許ない	ココロモトナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ココロモトナキ	和
09.03葵	OH_OO渋谷源氏	2050	2080	I	ところ	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
09.03葵	OH_OO渋谷源氏	2080	2100	I	なう	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-ウ音便	ノー	和
09.03葵	OH_OO渋谷源氏	2100	2110	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	2110	2150	I	心にくし	心憎い	ココロニクイ	形容詞-一般	文語形容詞-ク	終止形-一般	ココロニクシ	和
09.03葵	OH_OO渋谷源氏	2150	2160	I	」	」		補助記号-括弧閉				記号
09.03葵	OH_OO渋谷源氏	2160	2170	I	と	と	ト	助詞-格助詞			ト	和
09.03葵	OH_OO渋谷源氏	2170	2180	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
09.03葵	OH_OO渋谷源氏	2180	2210	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
09.03葵	OH_OO渋谷源氏	2210	2220	I	。	。		補助記号-句点				記号
09.03葵	OH_OO渋谷源氏	2220	2230	B	姫	姫	ヒメ	名詞-普通名詞-一般			ヒメ	和
09.03葵	OH_OO渋谷源氏	2230	2240	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
09.03葵	OH_OO渋谷源氏	2240	2250	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	2250	2270	I	いと	いと	イト	副詞			イト	和
09.03葵	OH_OO渋谷源氏	2270	2320	I	うつくしう	美しい	ウツクシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ウツクシュー	和
09.03葵	OH_OO渋谷源氏	2320	2340	I	ひき	引く	ヒク	動詞-一般	文語四段-カ行	連用形-一般	ヒキ	和
09.03葵	OH_OO渋谷源氏	2340	2380	I	つくろひ	繕う	ツクロウ	動詞-一般	文語四段-ハ行	連用形-一般	ツクロイ	和
09.03葵	OH_OO渋谷源氏	2380	2390	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	2390	2420	I	おはす	おわす	オワス	動詞-非自立可能	文語サ行変格	終止形-一般	オワス	和
09.03葵	OH_OO渋谷源氏	2420	2430	I	。	。		補助記号-句点				記号
09.03葵	OH_OO渋谷源氏	2430	2440	B	「	「		補助記号-括弧開				記号
09.03葵	OH_OO渋谷源氏	2440	2480	I	久しかり	久しい	ヒサシイ	形容詞-一般	文語形容詞-シク	連用形-補助	ヒサシカリ	和
09.03葵	OH_OO渋谷源氏	2480	2500	I	つる	つ	ツ	助動詞	文語助動詞-ツ	連体形-一般	ツル	和
09.03葵	OH_OO渋谷源氏	2500	2520	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
09.03葵	OH_OO渋谷源氏	2520	2530	I	に	に	ニ	助詞-格助詞			ニ	和
09.03葵	OH_OO渋谷源氏	2530	2540	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	2540	2560	I	いと	いと	イト	副詞			イト	和
09.03葵	OH_OO渋谷源氏	2560	2600	I	こよなう	こよない	コヨナイ	形容詞-一般	文語形容詞-ク	連用形-ウ音便	コヨノー	和
09.03葵	OH_OO渋谷源氏	2600	2620	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
09.03葵	OH_OO渋谷源氏	2620	2650	I	大人び	大人びる	オトナビル	動詞-一般	文語上二段-バ行	連用形-一般	オトナビ	和
09.03葵	OH_OO渋谷源氏	2650	2680	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
09.03葵	OH_OO渋谷源氏	2680	2690	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
09.03葵	OH_OO渋谷源氏	2690	2710	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
09.03葵	OH_OO渋谷源氏	2710	2720	I	」	」		補助記号-括弧閉				記号
09.03葵	OH_OO渋谷源氏	2720	2740	B	とて	とて	トテ	助詞-格助詞			トテ	和
09.03葵	OH_OO渋谷源氏	2740	2750	I	，	，		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	2750	2780	I	小さき	小さい	チイサイ	形容詞-一般	文語形容詞-ク	連体形-一般	チーサキ	和
09.03葵	OH_OO渋谷源氏	2780	2790	I	御	御	ミ	接頭辞			ミ	和
09.03葵	OH_OO渋谷源氏	2790	2810	I	几帳	几帳	キチョウ	名詞-普通名詞-一般			キチョー	漢
09.03葵	OH_OO渋谷源氏	2810	2830	I	ひき	引く	ヒク	動詞-一般	文語四段-カ行	連用形-一般	ヒキ	和
09.03葵	OH_OO渋谷源氏	2830	2850	I	上げ	上げる	アゲル	動詞-非自立可能	文語下二段-ガ行	連用形-一般	アゲ	和
09.03葵	OH_OO渋谷源氏	2850	2860	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	2860	2870	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
09.03葵	OH_OO渋谷源氏	2870	2920	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
09.03葵	OH_OO渋谷源氏	2920	2950	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
09.03葵	OH_OO渋谷源氏	2950	2960	I	ば	ば	バ	助詞-接続助詞			バ	和
09.03葵	OH_OO渋谷源氏	2960	2970	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	2970	2990	I	うち	打ち	ウチ	接頭辞			ウチ	和
09.03葵	OH_OO渋谷源氏	2990	3020	I	そばみ	側む	ソバム	動詞-一般	文語四段-マ行	連用形-一般	ソバミ	和
09.03葵	OH_OO渋谷源氏	3020	3030	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	3030	3050	I	笑ひ	笑う	ワラウ	動詞-一般	文語四段-ハ行	連用形-一般	ワライ	和
09.03葵	OH_OO渋谷源氏	3050	3080	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
09.03葵	OH_OO渋谷源氏	3080	3090	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
09.03葵	OH_OO渋谷源氏	3090	3100	I	御	御	オオン	接頭辞			オオン	和
09.03葵	OH_OO渋谷源氏	3100	3120	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
09.03葵	OH_OO渋谷源氏	3120	3130	I	、	、		補助記号-読点				記号
