17.04絵合	OH_OO渋谷源氏	1790	1820	I	かたき	難い	カタイ	形容詞-一般	文語形容詞-ク	連体形-一般	カタキ	和
17.04絵合	OH_OO渋谷源氏	1820	1840	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
17.04絵合	OH_OO渋谷源氏	1840	1850	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
17.04絵合	OH_OO渋谷源氏	1850	1870	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
17.04絵合	OH_OO渋谷源氏	1870	1880	I	。	。		補助記号-句点				記号
17.04絵合	OH_OO渋谷源氏	1880	1890	B	品	品	シナ	名詞-普通名詞-助数詞可能			シナ	和
17.04絵合	OH_OO渋谷源氏	1890	1910	I	高く	高い	タカイ	形容詞-一般	文語形容詞-ク	連用形-一般	タカク	和
17.04絵合	OH_OO渋谷源氏	1910	1940	I	生まれ	生まれる	ウマレル	動詞-一般	文語下二段-ラ行	連用形-一般	ムマレ	和
17.04絵合	OH_OO渋谷源氏	1940	1950	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	1950	1970	I	さら	然る	サル	動詞-一般	文語ラ行変格	未然形-一般	サラ	和
17.04絵合	OH_OO渋谷源氏	1970	1980	I	で	で	デ	助詞-接続助詞			デ	和
17.04絵合	OH_OO渋谷源氏	1980	1990	I	も	も	モ	助詞-係助詞			モ	和
17.04絵合	OH_OO渋谷源氏	1990	2000	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
17.04絵合	OH_OO渋谷源氏	2000	2010	I	に	に	ニ	助詞-格助詞			ニ	和
17.04絵合	OH_OO渋谷源氏	2010	2030	I	劣る	劣る	オトル	動詞-一般	文語四段-ラ行	終止形-一般	オトル	和
17.04絵合	OH_OO渋谷源氏	2030	2060	I	まじき	まじ	マジ	助動詞	文語助動詞-マジ	連体形-一般	マジキ	和
17.04絵合	OH_OO渋谷源氏	2060	2080	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
17.04絵合	OH_OO渋谷源氏	2080	2090	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
17.04絵合	OH_OO渋谷源氏	2090	2100	I	て	て	テ	助詞-接続助詞			テ	和
17.04絵合	OH_OO渋谷源氏	2100	2110	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	2110	2150	I	あながち	強ち	アナガチ	形状詞-一般			アナガチ	和
17.04絵合	OH_OO渋谷源氏	2150	2160	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
17.04絵合	OH_OO渋谷源氏	2160	2170	I	こ	是	コ	代名詞			コ	和
17.04絵合	OH_OO渋谷源氏	2170	2180	I	の	の	ノ	助詞-格助詞			ノ	和
17.04絵合	OH_OO渋谷源氏	2180	2190	I	道	道	ミチ	名詞-普通名詞-一般			ミチ	和
17.04絵合	OH_OO渋谷源氏	2190	2200	I	な	な	ナ	副詞			ナ	和
17.04絵合	OH_OO渋谷源氏	2200	2220	I	深く	深い	フカイ	形容詞-一般	文語形容詞-ク	連用形-一般	フカク	和
17.04絵合	OH_OO渋谷源氏	2220	2240	I	習ひ	習う	ナラウ	動詞-一般	文語四段-ハ行	連用形-一般	ナライ	和
17.04絵合	OH_OO渋谷源氏	2240	2250	I	そ	そ	ソ	助詞-終助詞			ソ	和
17.04絵合	OH_OO渋谷源氏	2250	2260	I	』	』		補助記号-括弧閉				記号
17.04絵合	OH_OO渋谷源氏	2260	2270	I	と	と	ト	助詞-格助詞			ト	和
17.04絵合	OH_OO渋谷源氏	2270	2280	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	2280	2300	I	諌め	諫める	イサメル	動詞-一般	文語下二段-マ行	未然形-一般	イサメ	和
17.04絵合	OH_OO渋谷源氏	2300	2320	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
17.04絵合	OH_OO渋谷源氏	2320	2350	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
17.04絵合	OH_OO渋谷源氏	2350	2360	I	て	て	テ	助詞-接続助詞			テ	和
17.04絵合	OH_OO渋谷源氏	2360	2370	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	2370	2390	I	本才	本才	ホンザイ	名詞-普通名詞-一般			ホンザイ	漢
17.04絵合	OH_OO渋谷源氏	2390	2400	I	の	の	ノ	助詞-格助詞			ノ	和
17.04絵合	OH_OO渋谷源氏	2400	2420	I	方々	方々	カタガタ	名詞-普通名詞-一般			カタガタ	和
17.04絵合	OH_OO渋谷源氏	2420	2430	I	の	の	ノ	助詞-格助詞			ノ	和
17.04絵合	OH_OO渋谷源氏	2430	2450	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
17.04絵合	OH_OO渋谷源氏	2450	2470	I	教へ	教える	オシエル	動詞-一般	文語下二段-ハ行	未然形-一般	オシエ	和
17.04絵合	OH_OO渋谷源氏	2470	2490	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
17.04絵合	OH_OO渋谷源氏	2490	2520	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
17.04絵合	OH_OO渋谷源氏	2520	2530	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
17.04絵合	OH_OO渋谷源氏	2530	2540	I	に	に	ニ	助詞-接続助詞			ニ	和
17.04絵合	OH_OO渋谷源氏	2540	2550	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	2550	2590	I	つたなき	拙い	ツタナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ツタナキ	和
17.04絵合	OH_OO渋谷源氏	2590	2610	I	こと	事	コト	名詞-普通名詞-一般			コト	和
17.04絵合	OH_OO渋谷源氏	2610	2620	I	も	も	モ	助詞-係助詞			モ	和
17.04絵合	OH_OO渋谷源氏	2620	2640	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
17.04絵合	OH_OO渋谷源氏	2640	2650	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	2650	2670	I	また	又	マタ	副詞			マタ	和
17.04絵合	OH_OO渋谷源氏	2670	2690	I	とり	取る	トル	動詞-一般	文語四段-ラ行	連用形-一般	トリ	和
17.04絵合	OH_OO渋谷源氏	2690	2710	I	立て	立てる	タテル	動詞-一般	文語下二段-タ行	連用形-一般	タテ	和
17.04絵合	OH_OO渋谷源氏	2710	2720	I	て	て	テ	助詞-接続助詞			テ	和
17.04絵合	OH_OO渋谷源氏	2720	2730	I	こ	是	コ	代名詞			コ	和
17.04絵合	OH_OO渋谷源氏	2730	2740	I	の	の	ノ	助詞-格助詞			ノ	和
17.04絵合	OH_OO渋谷源氏	2740	2760	I	こと	事	コト	名詞-普通名詞-一般			コト	和
17.04絵合	OH_OO渋谷源氏	2760	2770	I	と	と	ト	助詞-格助詞			ト	和
17.04絵合	OH_OO渋谷源氏	2770	2800	I	心得る	心得る	ココロエル	動詞-一般	文語下二段-ア行	連体形-一般	ココロウル	和
17.04絵合	OH_OO渋谷源氏	2800	2820	I	こと	事	コト	名詞-普通名詞-一般			コト	和
17.04絵合	OH_OO渋谷源氏	2820	2830	I	も	も	モ	助詞-係助詞			モ	和
17.04絵合	OH_OO渋谷源氏	2830	2860	I	はべら	侍る	ハベル	動詞-非自立可能	文語ラ行変格	未然形-一般	ハベラ	和
17.04絵合	OH_OO渋谷源氏	2860	2880	I	ざり	ず	ズ	助動詞	文語助動詞-ズ	連用形-補助	ザリ	和
17.04絵合	OH_OO渋谷源氏	2880	2890	I	き	き	キ	助動詞	文語助動詞-キ	終止形-一般	キ	和
17.04絵合	OH_OO渋谷源氏	2890	2900	I	。	。		補助記号-句点				記号
17.04絵合	OH_OO渋谷源氏	2900	2910	B	絵	絵	エ	名詞-普通名詞-一般			エ	漢
17.04絵合	OH_OO渋谷源氏	2910	2930	I	描く	書く	カク	動詞-一般	文語四段-カ行	連体形-一般	カク	和
17.04絵合	OH_OO渋谷源氏	2930	2950	I	こと	事	コト	名詞-普通名詞-一般			コト	和
17.04絵合	OH_OO渋谷源氏	2950	2970	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和
17.04絵合	OH_OO渋谷源氏	2970	2990	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
17.04絵合	OH_OO渋谷源氏	2990	3000	I	、	、		補助記号-読点				記号
