21.01乙女	OH_OO渋谷源氏	1660	1670	I	日	日	ヒ	名詞-普通名詞-副詞可能			ヒ	和
21.01乙女	OH_OO渋谷源氏	1670	1680	I	は	は	ハ	助詞-係助詞			ワ	和
21.01乙女	OH_OO渋谷源氏	1680	1690	I	、	、		補助記号-読点				記号
21.01乙女	OH_OO渋谷源氏	1690	1720	I	いかに	如何に	イカニ	副詞			イカニ	和
21.01乙女	OH_OO渋谷源氏	1720	1760	I	のどやか	長閑やか	ノドヤカ	形状詞-一般			ノドヤカ	和
21.01乙女	OH_OO渋谷源氏	1760	1770	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
21.01乙女	OH_OO渋谷源氏	1770	1790	I	思さ	思す	オボス	動詞-一般	文語四段-サ行	未然形-一般	オボサ	和
21.01乙女	OH_OO渋谷源氏	1790	1800	I	る	れる	レル	助動詞	文語下二段-ラ行	終止形-一般	ル	和
21.01乙女	OH_OO渋谷源氏	1800	1820	I	らむ	らむ	ラム	助動詞	文語助動詞-ラム	連体形-一般	ラム	和
21.01乙女	OH_OO渋谷源氏	1820	1830	I	」	」		補助記号-括弧閉				記号
21.01乙女	OH_OO渋谷源氏	1830	1840	B	と	と	ト	助詞-格助詞			ト	和
21.01乙女	OH_OO渋谷源氏	1840	1850	I	，	，		補助記号-読点				記号
21.01乙女	OH_OO渋谷源氏	1850	1880	I	訪らひ	訪う	トブラウ	動詞-一般	文語四段-ハ行	連用形-一般	トブライ	和
21.01乙女	OH_OO渋谷源氏	1880	1910	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	未然形-一般	キコエ	和
21.01乙女	OH_OO渋谷源氏	1910	1930	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
21.01乙女	OH_OO渋谷源氏	1930	1960	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
21.01乙女	OH_OO渋谷源氏	1960	1970	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
21.01乙女	OH_OO渋谷源氏	1970	1980	I	。	。		補助記号-句点				記号
21.01乙女	OH_OO渋谷源氏	1980	1990	B	「	「		補助記号-括弧開				記号
21.01乙女	OH_OO渋谷源氏	1990	2010	I	今日	今日	キョウ	名詞-普通名詞-副詞可能			キョー	和
21.01乙女	OH_OO渋谷源氏	2010	2020	I	は	は	ハ	助詞-係助詞			ワ	和
21.01乙女	OH_OO渋谷源氏	2020	2030	I	、	、		補助記号-読点				記号
21.01乙女	OH_OO渋谷源氏	2030	2050	B	かけ	掛ける	カケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	カケ	和
21.01乙女	OH_OO渋谷源氏	2050	2060	I	き	き	キ	助動詞	文語助動詞-キ	終止形-一般	キ	和
21.01乙女	OH_OO渋谷源氏	2060	2070	I	や	や	ヤ	助詞-係助詞			ヤ	和
21.01乙女	OH_OO渋谷源氏	2070	2080	I	は	は	ハ	助詞-係助詞			ワ	和
21.01乙女	OH_OO渋谷源氏	2080	2100	I	川瀬	川瀬	カワセ	名詞-普通名詞-一般			カワセ	和
21.01乙女	OH_OO渋谷源氏	2100	2110	I	の	の	ノ	助詞-格助詞			ノ	和
21.01乙女	OH_OO渋谷源氏	2110	2120	I	波	波	ナミ	名詞-普通名詞-一般			ナミ	和
21.01乙女	OH_OO渋谷源氏	2120	2130	I	も	も	モ	助詞-係助詞			モ	和
