34.12若菜上	OH_OO渋谷源氏	1900	1910	I	を	を	ヲ	助詞-格助詞			オ	和
34.12若菜上	OH_OO渋谷源氏	1910	1920	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
34.12若菜上	OH_OO渋谷源氏	1920	1950	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
34.12若菜上	OH_OO渋谷源氏	1950	1960	I	れ	り	リ	助動詞	文語助動詞-リ	已然形-一般	レ	和
34.12若菜上	OH_OO渋谷源氏	1960	1970	I	ば	ば	バ	助詞-接続助詞			バ	和
34.12若菜上	OH_OO渋谷源氏	1970	1980	I	、	、		補助記号-読点				記号
34.12若菜上	OH_OO渋谷源氏	1980	2010	I	すこし	少し	スコシ	副詞			スコシ	和
34.12若菜上	OH_OO渋谷源氏	2010	2040	I	面痩せ	面痩せる	オモヤセル	動詞-一般	文語下二段-サ行	連用形-一般	オモヤセ	和
34.12若菜上	OH_OO渋谷源氏	2040	2060	I	細り	細る	ホソル	動詞-一般	文語四段-ラ行	連用形-一般	ホソリ	和
34.12若菜上	OH_OO渋谷源氏	2060	2070	I	て	て	テ	助詞-接続助詞			テ	和
34.12若菜上	OH_OO渋谷源氏	2070	2080	I	、	、		補助記号-読点				記号
34.12若菜上	OH_OO渋谷源氏	2080	2120	I	いみじく	いみじい	イミジイ	形容詞-一般	文語形容詞-シク	連用形-一般	イミジク	和
34.12若菜上	OH_OO渋谷源氏	2120	2180	I	なまめかしき	艶めかしい	ナマメカシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ナマメカシキ	和
34.12若菜上	OH_OO渋谷源氏	2180	2190	I	御	御	オオン	接頭辞			オオン	和
34.12若菜上	OH_OO渋谷源氏	2190	2210	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
34.12若菜上	OH_OO渋谷源氏	2210	2220	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
34.12若菜上	OH_OO渋谷源氏	2220	2250	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
34.12若菜上	OH_OO渋谷源氏	2250	2260	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
34.12若菜上	OH_OO渋谷源氏	2260	2270	I	。	。		補助記号-句点				記号
34.12若菜上	OH_OO渋谷源氏	2270	2280	B	「	「		補助記号-括弧開				記号
34.12若菜上	OH_OO渋谷源氏	2280	2300	I	かく	斯く	カク	副詞			カク	和
34.12若菜上	OH_OO渋谷源氏	2300	2310	I	，	，		補助記号-読点				記号
34.12若菜上	OH_OO渋谷源氏	2310	2350	I	ためらひ	躊躇う	タメラウ	動詞-一般	文語四段-ハ行	連用形-一般	タメライ	和
34.12若菜上	OH_OO渋谷源氏	2350	2380	I	がたく	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	連用形-一般	ガタク	和
34.12若菜上	OH_OO渋谷源氏	2380	2420	I	おはする	おわす	オワス	動詞-非自立可能	文語サ行変格	連体形-一般	オワスル	和
34.12若菜上	OH_OO渋谷源氏	2420	2440	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
34.12若菜上	OH_OO渋谷源氏	2440	2450	I	、	、		補助記号-読点				記号
34.12若菜上	OH_OO渋谷源氏	2450	2490	I	つくろひ	繕う	ツクロウ	動詞-一般	文語四段-ハ行	連用形-一般	ツクロイ	和
34.12若菜上	OH_OO渋谷源氏	2490	2520	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
34.12若菜上	OH_OO渋谷源氏	2520	2530	I	て	て	テ	助詞-接続助詞			テ	和
