06.02末摘花	OH_OO渋谷源氏	2040	2050	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
06.02末摘花	OH_OO渋谷源氏	2050	2090	I	あつかふ	扱う	アツカウ	動詞-一般	文語四段-ハ行	終止形-一般	アツカウ	和
06.02末摘花	OH_OO渋谷源氏	2090	2110	I	らむ	らむ	ラム	助動詞	文語助動詞-ラム	連体形-一般	ラム	和
06.02末摘花	OH_OO渋谷源氏	2110	2120	I	。	。		補助記号-句点				記号
06.02末摘花	OH_OO渋谷源氏	2120	2140	B	かく	斯く	カク	副詞			カク	和
06.02末摘花	OH_OO渋谷源氏	2140	2180	I	心苦しき	心苦しい	ココログルシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ココログルシキ	和
06.02末摘花	OH_OO渋谷源氏	2180	2200	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
06.02末摘花	OH_OO渋谷源氏	2200	2210	I	を	を	ヲ	助詞-格助詞			オ	和
06.02末摘花	OH_OO渋谷源氏	2210	2220	I	も	も	モ	助詞-係助詞			モ	和
06.02末摘花	OH_OO渋谷源氏	2220	2230	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
06.02末摘花	OH_OO渋谷源氏	2230	2240	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	2240	2250	I	ゐ	居る	イル	動詞-非自立可能	文語上一段-ワ行	連用形-一般	イ	和
06.02末摘花	OH_OO渋谷源氏	2250	2270	I	たら	たり	タリ	助動詞	文語助動詞-タリ-完了	未然形-一般	タラ	和
06.02末摘花	OH_OO渋谷源氏	2270	2280	I	で	で	デ	助詞-接続助詞			デ	和
06.02末摘花	OH_OO渋谷源氏	2280	2290	I	」	」		補助記号-括弧閉				記号
06.02末摘花	OH_OO渋谷源氏	2290	2300	I	と	と	ト	助詞-格助詞			ト	和
06.02末摘花	OH_OO渋谷源氏	2300	2310	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	2310	2330	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
06.02末摘花	OH_OO渋谷源氏	2330	2350	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
06.02末摘花	OH_OO渋谷源氏	2350	2360	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	2360	2370	I	例	例	レイ	名詞-普通名詞-一般			レー	漢
06.02末摘花	OH_OO渋谷源氏	2370	2380	I	の	の	ノ	助詞-格助詞			ノ	和
06.02末摘花	OH_OO渋谷源氏	2380	2390	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	2390	2430	I	もろとも	諸共	モロトモ	名詞-普通名詞-一般			モロトモ	和
06.02末摘花	OH_OO渋谷源氏	2430	2440	I	に	に	ニ	助詞-格助詞			ニ	和
06.02末摘花	OH_OO渋谷源氏	2440	2470	I	雛遊び	雛遊び	ヒナアソビ	名詞-普通名詞-一般			ヒイナアソビ	和
06.02末摘花	OH_OO渋谷源氏	2470	2480	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
06.02末摘花	OH_OO渋谷源氏	2480	2510	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
06.02末摘花	OH_OO渋谷源氏	2510	2520	I	。	。		補助記号-句点				記号
06.02末摘花	OH_OO渋谷源氏	2520	2530	B	絵	絵	エ	名詞-普通名詞-一般			エ	漢
06.02末摘花	OH_OO渋谷源氏	2530	2550	I	など	など	ナド	助詞-副助詞			ナド	和
06.02末摘花	OH_OO渋谷源氏	2550	2570	I	描き	書く	カク	動詞-一般	文語四段-カ行	連用形-一般	カキ	和
06.02末摘花	OH_OO渋谷源氏	2570	2580	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	2580	2590	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	2590	2620	I	色どり	彩る	イロドル	動詞-一般	文語四段-ラ行	連用形-一般	イロドリ	和
06.02末摘花	OH_OO渋谷源氏	2620	2650	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
06.02末摘花	OH_OO渋谷源氏	2650	2660	I	。	。		補助記号-句点				記号
06.02末摘花	OH_OO渋谷源氏	2660	2690	B	よろづ	万	ヨロズ	名詞-普通名詞-副詞可能			ヨロズ	和
06.02末摘花	OH_OO渋谷源氏	2690	2700	I	に	に	ニ	助詞-格助詞			ニ	和
06.02末摘花	OH_OO渋谷源氏	2700	2740	I	をかしう	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	オカシュー	和
06.02末摘花	OH_OO渋谷源氏	2740	2770	I	すさび	荒びる	スサビル	動詞-一般	文語上二段-バ行	連用形-一般	スサビ	和
06.02末摘花	OH_OO渋谷源氏	2770	2800	I	散らし	散らす	チラス	動詞-一般	文語四段-サ行	連用形-一般	チラシ	和
06.02末摘花	OH_OO渋谷源氏	2800	2830	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
06.02末摘花	OH_OO渋谷源氏	2830	2850	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
06.02末摘花	OH_OO渋谷源氏	2850	2860	I	。	。		補助記号-句点				記号
06.02末摘花	OH_OO渋谷源氏	2860	2870	B	我	我	ワレ	代名詞			ワレ	和
06.02末摘花	OH_OO渋谷源氏	2870	2880	I	も	も	モ	助詞-係助詞			モ	和
06.02末摘花	OH_OO渋谷源氏	2880	2900	I	描き	書く	カク	動詞-一般	文語四段-カ行	連用形-一般	カキ	和
06.02末摘花	OH_OO渋谷源氏	2900	2920	I	添へ	添える	ソエル	動詞-一般	文語下二段-ハ行	連用形-一般	ソエ	和
06.02末摘花	OH_OO渋谷源氏	2920	2950	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
06.02末摘花	OH_OO渋谷源氏	2950	2960	I	。	。		補助記号-句点				記号
06.02末摘花	OH_OO渋谷源氏	2960	2970	B	髪	髪	カミ	名詞-普通名詞-一般			カミ	和
06.02末摘花	OH_OO渋谷源氏	2970	2990	I	いと	いと	イト	副詞			イト	和
06.02末摘花	OH_OO渋谷源氏	2990	3010	I	長き	長い	ナガイ	形容詞-一般	文語形容詞-ク	連体形-一般	ナガキ	和
06.02末摘花	OH_OO渋谷源氏	3010	3020	I	女	女	オンナ	名詞-普通名詞-一般			オンナ	和
06.02末摘花	OH_OO渋谷源氏	3020	3030	I	を	を	ヲ	助詞-格助詞			オ	和
06.02末摘花	OH_OO渋谷源氏	3030	3050	I	描き	書く	カク	動詞-一般	文語四段-カ行	連用形-一般	カキ	和
06.02末摘花	OH_OO渋谷源氏	3050	3080	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
06.02末摘花	OH_OO渋谷源氏	3080	3090	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	3090	3100	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	3100	3110	I	鼻	鼻	ハナ	名詞-普通名詞-一般			ハナ	和
06.02末摘花	OH_OO渋谷源氏	3110	3120	I	に	に	ニ	助詞-格助詞			ニ	和
06.02末摘花	OH_OO渋谷源氏	3120	3130	I	紅	紅	クレナイ	名詞-普通名詞-一般			クレナイ	和
06.02末摘花	OH_OO渋谷源氏	3130	3140	I	を	を	ヲ	助詞-格助詞			オ	和
06.02末摘花	OH_OO渋谷源氏	3140	3160	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
06.02末摘花	OH_OO渋谷源氏	3160	3170	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	3170	3180	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
06.02末摘花	OH_OO渋谷源氏	3180	3210	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
06.02末摘花	OH_OO渋谷源氏	3210	3220	I	に	に	ニ	助詞-接続助詞			ニ	和
06.02末摘花	OH_OO渋谷源氏	3220	3230	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	3230	3240	I	画	絵	エ	名詞-普通名詞-一般			エ	漢
06.02末摘花	OH_OO渋谷源氏	3240	3250	I	に	に	ニ	助詞-格助詞			ニ	和
06.02末摘花	OH_OO渋谷源氏	3250	3270	I	描き	書く	カク	動詞-一般	文語四段-カ行	連用形-一般	カキ	和
06.02末摘花	OH_OO渋谷源氏	3270	3280	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	3280	3290	I	も	も	モ	助詞-係助詞			モ	和
06.02末摘花	OH_OO渋谷源氏	3290	3300	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	未然形-一般	ミ	和
06.02末摘花	OH_OO渋谷源氏	3300	3330	I	ま憂き	まうし	マウシ	助動詞	文語形容詞-ク	連体形-一般	マウキ	和
06.02末摘花	OH_OO渋谷源氏	3330	3350	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
06.02末摘花	OH_OO渋谷源氏	3350	3360	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
06.02末摘花	OH_OO渋谷源氏	3360	3380	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
06.02末摘花	OH_OO渋谷源氏	3380	3390	I	。	。		補助記号-句点				記号
06.02末摘花	OH_OO渋谷源氏	3390	3400	B	わ	わ	ワ	代名詞			ワ	和
06.02末摘花	OH_OO渋谷源氏	3400	3410	I	が	が	ガ	助詞-格助詞			ガ	和
06.02末摘花	OH_OO渋谷源氏	3410	3420	I	御	御	オオン	接頭辞			オオン	和
06.02末摘花	OH_OO渋谷源氏	3420	3430	I	影	影	カゲ	名詞-普通名詞-一般			カゲ	和
06.02末摘花	OH_OO渋谷源氏	3430	3440	I	の	の	ノ	助詞-格助詞			ノ	和
06.02末摘花	OH_OO渋谷源氏	3440	3460	I	鏡台	鏡台	キョウダイ	名詞-普通名詞-一般			キョーダイ	漢
06.02末摘花	OH_OO渋谷源氏	3460	3470	I	に	に	ニ	助詞-格助詞			ニ	和
