34.08若菜上	OH_OO渋谷源氏	2390	2420	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
34.08若菜上	OH_OO渋谷源氏	2420	2430	I	も	も	モ	助詞-係助詞			モ	和
34.08若菜上	OH_OO渋谷源氏	2430	2440	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	2440	2460	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
34.08若菜上	OH_OO渋谷源氏	2460	2500	I	まほしき	まほし	マホシ	助動詞	文語形容詞-シク	連体形-一般	マホシキ	和
34.08若菜上	OH_OO渋谷源氏	2500	2510	I	御	御	ミ	接頭辞			ミ	和
34.08若菜上	OH_OO渋谷源氏	2510	2530	I	宿世	宿世	シュクセ	名詞-普通名詞-一般			スクセ	漢
34.08若菜上	OH_OO渋谷源氏	2530	2550	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
34.08若菜上	OH_OO渋谷源氏	2550	2570	I	かし	かし	カシ	助詞-終助詞			カシ	和
34.08若菜上	OH_OO渋谷源氏	2570	2580	I	。	。		補助記号-句点				記号
34.08若菜上	OH_OO渋谷源氏	2580	2590	B	対	対	タイ	名詞-普通名詞-一般			タイ	漢
34.08若菜上	OH_OO渋谷源氏	2590	2600	I	の	の	ノ	助詞-格助詞			ノ	和
34.08若菜上	OH_OO渋谷源氏	2600	2610	I	上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
34.08若菜上	OH_OO渋谷源氏	2610	2620	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	2620	2650	I	こなた	此方	コナタ	代名詞			コナタ	和
34.08若菜上	OH_OO渋谷源氏	2650	2660	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	2660	2680	I	渡り	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ワタリ	和
34.08若菜上	OH_OO渋谷源氏	2680	2690	I	て	て	テ	助詞-接続助詞			テ	和
34.08若菜上	OH_OO渋谷源氏	2690	2710	I	対面	対面	タイメン	名詞-普通名詞-サ変可能			タイメン	漢
34.08若菜上	OH_OO渋谷源氏	2710	2720	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
34.08若菜上	OH_OO渋谷源氏	2720	2750	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
34.08若菜上	OH_OO渋谷源氏	2750	2780	I	ついで	序で	ツイデ	名詞-普通名詞-一般			ツイデ	和
34.08若菜上	OH_OO渋谷源氏	2780	2790	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	2790	2800	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	2800	2810	B	「	「		補助記号-括弧開				記号
34.08若菜上	OH_OO渋谷源氏	2810	2830	I	姫宮	姫宮	ヒメミヤ	名詞-普通名詞-一般			ヒメミヤ	和
34.08若菜上	OH_OO渋谷源氏	2830	2840	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	2840	2850	I	も	も	モ	助詞-係助詞			モ	和
34.08若菜上	OH_OO渋谷源氏	2850	2860	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	2860	2870	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
34.08若菜上	OH_OO渋谷源氏	2870	2880	I	の	の	ノ	助詞-格助詞			ノ	和
34.08若菜上	OH_OO渋谷源氏	2880	2890	I	戸	戸	ト	名詞-普通名詞-一般			ト	和
34.08若菜上	OH_OO渋谷源氏	2890	2910	I	開け	開ける	アケル	動詞-一般	文語下二段-カ行	連用形-一般	アケ	和
34.08若菜上	OH_OO渋谷源氏	2910	2920	I	て	て	テ	助詞-接続助詞			テ	和
34.08若菜上	OH_OO渋谷源氏	2920	2950	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	未然形-一般	キコエ	和
34.08若菜上	OH_OO渋谷源氏	2950	2960	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
34.08若菜上	OH_OO渋谷源氏	2960	2970	I	。	。		補助記号-句点				記号
34.08若菜上	OH_OO渋谷源氏	2970	2990	B	かね	兼ねる	カネル	動詞-一般	文語下二段-ナ行	連用形-一般	カネ	和
34.08若菜上	OH_OO渋谷源氏	2990	3000	I	て	て	テ	助詞-接続助詞			テ	和
34.08若菜上	OH_OO渋谷源氏	3000	3020	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
34.08若菜上	OH_OO渋谷源氏	3020	3030	I	も	も	モ	助詞-係助詞			モ	和
34.08若菜上	OH_OO渋谷源氏	3030	3060	I	さやう	然様	サヨウ	形状詞-一般			サヨー	混
34.08若菜上	OH_OO渋谷源氏	3060	3070	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
34.08若菜上	OH_OO渋谷源氏	3070	3090	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
34.08若菜上	OH_OO渋谷源氏	3090	3110	I	しか	き	キ	助動詞	文語助動詞-キ	已然形-一般	シカ	和
34.08若菜上	OH_OO渋谷源氏	3110	3120	I	ど	ど	ド	助詞-接続助詞			ド	和
34.08若菜上	OH_OO渋谷源氏	3120	3130	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	3130	3160	I	ついで	序で	ツイデ	名詞-普通名詞-一般			ツイデ	和
34.08若菜上	OH_OO渋谷源氏	3160	3180	I	なき	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ナキ	和
34.08若菜上	OH_OO渋谷源氏	3180	3190	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	3190	3200	I	は	は	ハ	助詞-係助詞			ワ	和
34.08若菜上	OH_OO渋谷源氏	3200	3250	I	つつましき	慎ましい	ツツマシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ツツマシキ	和
