24.01胡蝶	OH_OO渋谷源氏	1660	1670	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
24.01胡蝶	OH_OO渋谷源氏	1670	1700	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
24.01胡蝶	OH_OO渋谷源氏	1700	1710	I	て	て	テ	助詞-接続助詞			テ	和
24.01胡蝶	OH_OO渋谷源氏	1710	1720	I	、	、		補助記号-読点				記号
24.01胡蝶	OH_OO渋谷源氏	1720	1750	I	下ろし	下ろす	オロス	動詞-一般	文語四段-サ行	連用形-一般	オロシ	和
24.01胡蝶	OH_OO渋谷源氏	1750	1770	I	始め	始める	ハジメル	動詞-非自立可能	文語下二段-マ行	未然形-一般	ハジメ	和
24.01胡蝶	OH_OO渋谷源氏	1770	1790	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
24.01胡蝶	OH_OO渋谷源氏	1790	1820	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
24.01胡蝶	OH_OO渋谷源氏	1820	1830	I	日	日	ヒ	名詞-普通名詞-副詞可能			ヒ	和
24.01胡蝶	OH_OO渋谷源氏	1830	1840	I	は	は	ハ	助詞-係助詞			ワ	和
24.01胡蝶	OH_OO渋谷源氏	1840	1850	I	、	、		補助記号-読点				記号
24.01胡蝶	OH_OO渋谷源氏	1850	1880	I	雅楽寮	雅楽寮	ウタヅカサ	名詞-普通名詞-一般			ウタズカサ	和
24.01胡蝶	OH_OO渋谷源氏	1880	1890	I	の	の	ノ	助詞-格助詞			ノ	和
24.01胡蝶	OH_OO渋谷源氏	1890	1900	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
24.01胡蝶	OH_OO渋谷源氏	1900	1920	I	召し	召す	メス	動詞-一般	文語四段-サ行	連用形-一般	メシ	和
24.01胡蝶	OH_OO渋谷源氏	1920	1930	I	て	て	テ	助詞-接続助詞			テ	和
24.01胡蝶	OH_OO渋谷源氏	1930	1940	I	、	、		補助記号-読点				記号
