46.02椎本	OH_OO渋谷源氏	1920	1960	I	紛らはし	紛らわす	マギラワス	動詞-一般	文語四段-サ行	連用形-一般	マギラワシ	和
46.02椎本	OH_OO渋谷源氏	1960	1980	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
46.02椎本	OH_OO渋谷源氏	1980	1990	I	、	、		補助記号-読点				記号
46.02椎本	OH_OO渋谷源氏	1990	2000	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
46.02椎本	OH_OO渋谷源氏	2000	2020	I	寄せ	寄せる	ヨセル	動詞-一般	文語下二段-サ行	連用形-一般	ヨセ	和
46.02椎本	OH_OO渋谷源氏	2020	2050	I	訪らひ	訪う	トブラウ	動詞-一般	文語四段-ハ行	連用形-一般	トブライ	和
46.02椎本	OH_OO渋谷源氏	2050	2080	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
46.02椎本	OH_OO渋谷源氏	2080	2090	I	。	。		補助記号-句点				記号
46.02椎本	OH_OO渋谷源氏	2090	2110	B	宇治	ウジ	ウジ	名詞-固有名詞-地名-一般			ウジ	固
46.02椎本	OH_OO渋谷源氏	2110	2120	I	に	に	ニ	助詞-格助詞			ニ	和
46.02椎本	OH_OO渋谷源氏	2120	2150	I	参うで	詣でる	モウデル	動詞-一般	文語下二段-ダ行	未然形-一般	モーデ	和
46.02椎本	OH_OO渋谷源氏	2150	2160	I	で	で	デ	助詞-接続助詞			デ	和
46.02椎本	OH_OO渋谷源氏	2160	2190	I	久しう	久しい	ヒサシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ヒサシュー	和
46.02椎本	OH_OO渋谷源氏	2190	2210	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
46.02椎本	OH_OO渋谷源氏	2210	2220	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
46.02椎本	OH_OO渋谷源氏	2220	2240	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
46.02椎本	OH_OO渋谷源氏	2240	2250	I	を	を	ヲ	助詞-格助詞			オ	和
46.02椎本	OH_OO渋谷源氏	2250	2260	I	、	、		補助記号-読点				記号
46.02椎本	OH_OO渋谷源氏	2260	2280	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
46.02椎本	OH_OO渋谷源氏	2280	2300	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
46.02椎本	OH_OO渋谷源氏	2300	2310	I	て	て	テ	助詞-接続助詞			テ	和
46.02椎本	OH_OO渋谷源氏	2310	2330	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
46.02椎本	OH_OO渋谷源氏	2330	2360	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
46.02椎本	OH_OO渋谷源氏	2360	2370	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
46.02椎本	OH_OO渋谷源氏	2370	2380	I	。	。		補助記号-句点				記号
46.02椎本	OH_OO渋谷源氏	2380	2400	B	七月	文月	フミヅキ	名詞-普通名詞-一般			フミズキ	和
46.02椎本	OH_OO渋谷源氏	2400	2430	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
46.02椎本	OH_OO渋谷源氏	2430	2440	I	に	に	ニ	助詞-格助詞			ニ	和
46.02椎本	OH_OO渋谷源氏	2440	2460	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
46.02椎本	OH_OO渋谷源氏	2460	2470	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
46.02椎本	OH_OO渋谷源氏	2470	2490	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
46.02椎本	OH_OO渋谷源氏	2490	2500	I	。	。		補助記号-句点				記号
46.02椎本	OH_OO渋谷源氏	2500	2510	B	都	都	ミヤコ	名詞-普通名詞-一般			ミヤコ	和
46.02椎本	OH_OO渋谷源氏	2510	2520	I	に	に	ニ	助詞-格助詞			ニ	和
46.02椎本	OH_OO渋谷源氏	2520	2530	I	は	は	ハ	助詞-係助詞			ワ	和
46.02椎本	OH_OO渋谷源氏	2530	2550	I	まだ	未だ	マダ	副詞			マダ	和
46.02椎本	OH_OO渋谷源氏	2550	2570	I	入り	入る	イル	動詞-一般	文語四段-ラ行	連用形-一般	イリ	和
46.02椎本	OH_OO渋谷源氏	2570	2590	I	たた	立つ	タツ	動詞-一般	文語四段-タ行	未然形-一般	タタ	和
46.02椎本	OH_OO渋谷源氏	2590	2600	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
46.02椎本	OH_OO渋谷源氏	2600	2610	I	秋	秋	アキ	名詞-普通名詞-副詞可能			アキ	和
46.02椎本	OH_OO渋谷源氏	2610	2620	I	の	の	ノ	助詞-格助詞			ノ	和
46.02椎本	OH_OO渋谷源氏	2620	2650	I	けしき	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
46.02椎本	OH_OO渋谷源氏	2650	2660	I	を	を	ヲ	助詞-格助詞			オ	和
46.02椎本	OH_OO渋谷源氏	2660	2670	I	、	、		補助記号-読点				記号
46.02椎本	OH_OO渋谷源氏	2670	2690	I	音羽	オトワ	オトワ	名詞-固有名詞-地名-一般			オトワ	固
46.02椎本	OH_OO渋谷源氏	2690	2700	I	の	の	ノ	助詞-格助詞			ノ	和
46.02椎本	OH_OO渋谷源氏	2700	2710	I	山	山	ヤマ	名詞-普通名詞-一般			ヤマ	和
