44.01竹河	OH_OO渋谷源氏	2250	2280	I	おきて	掟てる	オキテル	動詞-一般	文語下二段-タ行	連用形-一般	オキテ	和
44.01竹河	OH_OO渋谷源氏	2280	2290	I	て	て	テ	助詞-接続助詞			テ	和
44.01竹河	OH_OO渋谷源氏	2290	2300	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	2300	2320	I	年月	年月	トシツキ	名詞-普通名詞-一般			トシツキ	和
44.01竹河	OH_OO渋谷源氏	2320	2330	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	2330	2360	I	過ぐる	過ぎる	スギル	動詞-非自立可能	文語上二段-ガ行	連体形-一般	スグル	和
44.01竹河	OH_OO渋谷源氏	2360	2370	I	も	も	モ	助詞-係助詞			モ	和
44.01竹河	OH_OO渋谷源氏	2370	2410	I	心もとな	心許ない	ココロモトナイ	形容詞-一般	文語形容詞-ク	語幹-一般	ココロモトナ	和
44.01竹河	OH_OO渋谷源氏	2410	2430	I	がり	がる	ガル	接尾辞-動詞的	文語四段-ラ行	連用形-一般	ガリ	和
44.01竹河	OH_OO渋谷源氏	2430	2460	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
44.01竹河	OH_OO渋谷源氏	2460	2470	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
44.01竹河	OH_OO渋谷源氏	2470	2490	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
44.01竹河	OH_OO渋谷源氏	2490	2500	I	に	に	ニ	助詞-格助詞			ニ	和
44.01竹河	OH_OO渋谷源氏	2500	2510	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	2510	2550	I	あへなく	敢え無い	アエナイ	形容詞-一般	文語形容詞-ク	連用形-一般	アエナク	和
44.01竹河	OH_OO渋谷源氏	2550	2570	I	亡せ	失せる	ウセル	動詞-一般	文語下二段-サ行	連用形-一般	ウセ	和
44.01竹河	OH_OO渋谷源氏	2570	2600	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
44.01竹河	OH_OO渋谷源氏	2600	2610	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
44.01竹河	OH_OO渋谷源氏	2610	2630	I	しか	き	キ	助動詞	文語助動詞-キ	已然形-一般	シカ	和
44.01竹河	OH_OO渋谷源氏	2630	2640	I	ば	ば	バ	助詞-接続助詞			バ	和
44.01竹河	OH_OO渋谷源氏	2640	2650	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	2650	2660	I	夢	夢	ユメ	名詞-普通名詞-一般			ユメ	和
44.01竹河	OH_OO渋谷源氏	2660	2670	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	2670	2690	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
44.01竹河	OH_OO渋谷源氏	2690	2700	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
44.01竹河	OH_OO渋谷源氏	2700	2710	I	て	て	テ	助詞-接続助詞			テ	和
44.01竹河	OH_OO渋谷源氏	2710	2720	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	2720	2740	I	いつ	何時	イツ	代名詞			イツ	和
44.01竹河	OH_OO渋谷源氏	2740	2750	I	し	し	シ	助詞-副助詞			シ	和
44.01竹河	OH_OO渋谷源氏	2750	2760	I	か	か	カ	助詞-係助詞			カ	和
44.01竹河	OH_OO渋谷源氏	2760	2770	I	と	と	ト	助詞-格助詞			ト	和
44.01竹河	OH_OO渋谷源氏	2770	2800	I	いそぎ	急ぐ	イソグ	動詞-一般	文語四段-ガ行	連用形-一般	イソギ	和
44.01竹河	OH_OO渋谷源氏	2800	2820	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
44.01竹河	OH_OO渋谷源氏	2820	2830	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
44.01竹河	OH_OO渋谷源氏	2830	2840	I	御	御	オオン	接頭辞			オオン	和
44.01竹河	OH_OO渋谷源氏	2840	2870	I	宮仕へ	宮仕え	ミヤヅカエ	名詞-普通名詞-一般			ミヤズカエ	和
44.01竹河	OH_OO渋谷源氏	2870	2880	I	も	も	モ	助詞-係助詞			モ	和
44.01竹河	OH_OO渋谷源氏	2880	2920	I	おこたり	怠る	オコタル	動詞-一般	文語四段-ラ行	連用形-一般	オコタリ	和
44.01竹河	OH_OO渋谷源氏	2920	2930	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
44.01竹河	OH_OO渋谷源氏	2930	2940	I	。	。		補助記号-句点				記号
44.01竹河	OH_OO渋谷源氏	2940	2950	B	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
44.01竹河	OH_OO渋谷源氏	2950	2960	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	2960	2970	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
44.01竹河	OH_OO渋谷源氏	2970	2980	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	2980	2990	I	時	時	トキ	名詞-普通名詞-副詞可能			トキ	和
44.01竹河	OH_OO渋谷源氏	2990	3000	I	に	に	ニ	助詞-格助詞			ニ	和
44.01竹河	OH_OO渋谷源氏	3000	3020	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和
44.01竹河	OH_OO渋谷源氏	3020	3040	I	よる	寄る	ヨル	動詞-一般	文語四段-ラ行	連体形-一般	ヨル	和
44.01竹河	OH_OO渋谷源氏	3040	3060	I	わざ	技	ワザ	名詞-普通名詞-一般			ワザ	和
44.01竹河	OH_OO渋谷源氏	3060	3080	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-一般	ナリ	和
44.01竹河	OH_OO渋谷源氏	3080	3100	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
44.01竹河	OH_OO渋谷源氏	3100	3110	I	ば	ば	バ	助詞-接続助詞			バ	和
44.01竹河	OH_OO渋谷源氏	3110	3120	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	3120	3130	I	さ	然	サ	副詞			サ	和
44.01竹河	OH_OO渋谷源氏	3130	3160	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
44.01竹河	OH_OO渋谷源氏	3160	3180	I	勢ひ	勢い	イキオイ	名詞-普通名詞-一般			イキオイ	和
44.01竹河	OH_OO渋谷源氏	3180	3230	I	いかめしく	厳めしい	イカメシイ	形容詞-一般	文語形容詞-シク	連用形-一般	イカメシク	和
44.01竹河	OH_OO渋谷源氏	3230	3260	I	おはせ	おわす	オワス	動詞-非自立可能	文語サ行変格	未然形-一般	オワセ	和
44.01竹河	OH_OO渋谷源氏	3260	3270	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
