34.03若菜上	OH_OO渋谷源氏	2030	2040	I	。	。		補助記号-句点				記号
34.03若菜上	OH_OO渋谷源氏	2040	2050	B	御	御	オオン	接頭辞			オオン	和
34.03若菜上	OH_OO渋谷源氏	2050	2070	I	腰結	腰結い	コシユイ	名詞-普通名詞-一般			コシユイ	和
34.03若菜上	OH_OO渋谷源氏	2070	2080	I	に	に	ニ	助詞-格助詞			ニ	和
34.03若菜上	OH_OO渋谷源氏	2080	2090	I	は	は	ハ	助詞-係助詞			ワ	和
34.03若菜上	OH_OO渋谷源氏	2090	2100	I	、	、		補助記号-読点				記号
34.03若菜上	OH_OO渋谷源氏	2100	2120	I	太政	太政	ダイジョウ	名詞-普通名詞-一般			ダイジョー	漢
34.03若菜上	OH_OO渋谷源氏	2120	2140	I	大臣	大臣	ダイジン	名詞-普通名詞-一般			ダイジン	漢
34.03若菜上	OH_OO渋谷源氏	2140	2150	I	を	を	ヲ	助詞-格助詞			オ	和
34.03若菜上	OH_OO渋谷源氏	2150	2170	I	かね	兼ねる	カネル	動詞-一般	文語下二段-ナ行	連用形-一般	カネ	和
34.03若菜上	OH_OO渋谷源氏	2170	2180	I	て	て	テ	助詞-接続助詞			テ	和
34.03若菜上	OH_OO渋谷源氏	2180	2200	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
34.03若菜上	OH_OO渋谷源氏	2200	2230	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	未然形-一般	キコエ	和
34.03若菜上	OH_OO渋谷源氏	2230	2250	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
34.03若菜上	OH_OO渋谷源氏	2250	2280	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
34.03若菜上	OH_OO渋谷源氏	2280	2290	I	り	り	リ	助動詞	文語助動詞-リ	連用形-一般	リ	和
34.03若菜上	OH_OO渋谷源氏	2290	2310	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
34.03若菜上	OH_OO渋谷源氏	2310	2320	I	ば	ば	バ	助詞-接続助詞			バ	和
34.03若菜上	OH_OO渋谷源氏	2320	2330	I	、	、		補助記号-読点				記号
34.03若菜上	OH_OO渋谷源氏	2330	2390	I	ことことしく	事々しい	コトゴトシイ	形容詞-一般	文語形容詞-シク	連用形-一般	コトコトシク	和
34.03若菜上	OH_OO渋谷源氏	2390	2430	I	おはする	おわす	オワス	動詞-非自立可能	文語サ行変格	連体形-一般	オワスル	和
34.03若菜上	OH_OO渋谷源氏	2430	2440	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
34.03若菜上	OH_OO渋谷源氏	2440	2450	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
34.03若菜上	OH_OO渋谷源氏	2450	2460	I	て	て	テ	助詞-接続助詞			テ	和
34.03若菜上	OH_OO渋谷源氏	2460	2470	I	、	、		補助記号-読点				記号
34.03若菜上	OH_OO渋谷源氏	2470	2490	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
34.03若菜上	OH_OO渋谷源氏	2490	2520	I	にくく	難い	ニクイ	接尾辞-形容詞的	文語形容詞-ク	連用形-一般	ニクク	和
34.03若菜上	OH_OO渋谷源氏	2520	2560	I	思しけれ	思しい	オボシイ	形容詞-一般	文語形容詞-シク	已然形-一般	オボシケレ	和
34.03若菜上	OH_OO渋谷源氏	2560	2570	I	ど	ど	ド	助詞-接続助詞			ド	和
34.03若菜上	OH_OO渋谷源氏	2570	2580	I	、	、		補助記号-読点				記号
34.03若菜上	OH_OO渋谷源氏	2580	2590	I	院	院	イン	名詞-普通名詞-一般			イン	漢
34.03若菜上	OH_OO渋谷源氏	2590	2600	I	の	の	ノ	助詞-格助詞			ノ	和
34.03若菜上	OH_OO渋谷源氏	2600	2620	I	御言	御言	ミコト	名詞-普通名詞-一般			ミコト	和
34.03若菜上	OH_OO渋谷源氏	2620	2630	I	を	を	ヲ	助詞-格助詞			オ	和
