39.05夕霧	OH_OO渋谷源氏	2070	2090	B	宿世	宿世	シュクセ	名詞-普通名詞-一般			スクセ	漢
39.05夕霧	OH_OO渋谷源氏	2090	2100	I	と	と	ト	助詞-格助詞			ト	和
39.05夕霧	OH_OO渋谷源氏	2100	2120	I	いふ	言う	イウ	動詞-一般	文語四段-ハ行	連体形-一般	イウ	和
39.05夕霧	OH_OO渋谷源氏	2120	2140	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
39.05夕霧	OH_OO渋谷源氏	2140	2150	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	2150	2170	I	逃れ	逃れる	ノガレル	動詞-一般	文語下二段-ラ行	連用形-一般	ノガレ	和
39.05夕霧	OH_OO渋谷源氏	2170	2190	I	わび	詫びる	ワビル	動詞-非自立可能	文語上二段-バ行	連用形-一般	ワビ	和
39.05夕霧	OH_OO渋谷源氏	2190	2210	I	ぬる	ぬ	ヌ	助動詞	文語助動詞-ヌ	連体形-一般	ヌル	和
39.05夕霧	OH_OO渋谷源氏	2210	2230	I	こと	事	コト	名詞-普通名詞-一般			コト	和
39.05夕霧	OH_OO渋谷源氏	2230	2250	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
39.05夕霧	OH_OO渋谷源氏	2250	2260	I	。	。		補助記号-句点				記号
39.05夕霧	OH_OO渋谷源氏	2260	2270	B	と	と	ト	助詞-格助詞			ト	和
39.05夕霧	OH_OO渋谷源氏	2270	2280	I	も	も	モ	助詞-係助詞			モ	和
39.05夕霧	OH_OO渋谷源氏	2280	2300	I	かく	斯く	カク	副詞			カク	和
39.05夕霧	OH_OO渋谷源氏	2300	2310	I	も	も	モ	助詞-係助詞			モ	和
39.05夕霧	OH_OO渋谷源氏	2310	2340	I	口入る	口入れる	クチイレル	動詞-一般	文語下二段-ラ行	終止形-一般	クチイル	和
39.05夕霧	OH_OO渋谷源氏	2340	2360	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
39.05夕霧	OH_OO渋谷源氏	2360	2380	I	こと	事	コト	名詞-普通名詞-一般			コト	和
39.05夕霧	OH_OO渋谷源氏	2380	2400	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
39.05夕霧	OH_OO渋谷源氏	2400	2410	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
39.05夕霧	OH_OO渋谷源氏	2410	2420	I	」	」		補助記号-括弧閉				記号
39.05夕霧	OH_OO渋谷源氏	2420	2430	B	と	と	ト	助詞-格助詞			ト	和
39.05夕霧	OH_OO渋谷源氏	2430	2450	I	思す	思す	オボス	動詞-一般	文語四段-サ行	終止形-一般	オボス	和
39.05夕霧	OH_OO渋谷源氏	2450	2460	I	。	。		補助記号-句点				記号
39.05夕霧	OH_OO渋谷源氏	2460	2470	B	女	女	オンナ	名詞-普通名詞-一般			オンナ	和
39.05夕霧	OH_OO渋谷源氏	2470	2480	I	の	の	ノ	助詞-格助詞			ノ	和
39.05夕霧	OH_OO渋谷源氏	2480	2500	I	ため	為	タメ	名詞-普通名詞-副詞可能			タメ	和
39.05夕霧	OH_OO渋谷源氏	2500	2520	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和
39.05夕霧	OH_OO渋谷源氏	2520	2530	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
39.05夕霧	OH_OO渋谷源氏	2530	2550	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
39.05夕霧	OH_OO渋谷源氏	2550	2560	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	2560	2590	I	いづ方	何方	イズカタ	名詞-普通名詞-一般			イズカタ	和
39.05夕霧	OH_OO渋谷源氏	2590	2600	I	に	に	ニ	助詞-格助詞			ニ	和
39.05夕霧	OH_OO渋谷源氏	2600	2610	I	も	も	モ	助詞-係助詞			モ	和
39.05夕霧	OH_OO渋谷源氏	2610	2670	I	いとほしけれ	いとおしい	イトオシイ	形容詞-一般	文語形容詞-シク	已然形-一般	イトーシケレ	和
39.05夕霧	OH_OO渋谷源氏	2670	2680	I	と	と	ト	助詞-格助詞			ト	和
39.05夕霧	OH_OO渋谷源氏	2680	2690	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	2690	2730	I	あいなく	あいない	アイナイ	形容詞-一般	文語形容詞-ク	連用形-一般	アイナク	和
39.05夕霧	OH_OO渋谷源氏	2730	2780	I	聞こしめし	聞こし召す	キコシメス	動詞-一般	文語四段-サ行	連用形-一般	キコシメシ	和
39.05夕霧	OH_OO渋谷源氏	2780	2800	I	嘆く	嘆く	ナゲク	動詞-一般	文語四段-カ行	終止形-一般	ナゲク	和
39.05夕霧	OH_OO渋谷源氏	2800	2810	I	。	。		補助記号-句点				記号
39.05夕霧	OH_OO渋谷源氏	2810	2820	B	紫	紫	ムラサキ	名詞-普通名詞-一般			ムラサキ	和
39.05夕霧	OH_OO渋谷源氏	2820	2830	I	の	の	ノ	助詞-格助詞			ノ	和
39.05夕霧	OH_OO渋谷源氏	2830	2840	I	上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
39.05夕霧	OH_OO渋谷源氏	2840	2850	I	に	に	ニ	助詞-格助詞			ニ	和
39.05夕霧	OH_OO渋谷源氏	2850	2860	I	も	も	モ	助詞-係助詞			モ	和
39.05夕霧	OH_OO渋谷源氏	2860	2870	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	2870	2880	I	来	来る	クル	動詞-非自立可能	文語カ行変格	連用形-一般	キ	和
39.05夕霧	OH_OO渋谷源氏	2880	2890	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
39.05夕霧	OH_OO渋谷源氏	2890	2900	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
39.05夕霧	OH_OO渋谷源氏	2900	2920	I	行く	行く	イク	動詞-非自立可能	文語四段-カ行	連体形-一般	ユク	和
39.05夕霧	OH_OO渋谷源氏	2920	2930	I	先	先	サキ	名詞-普通名詞-副詞可能			サキ	和
39.05夕霧	OH_OO渋谷源氏	2930	2940	I	の	の	ノ	助詞-格助詞			ノ	和
39.05夕霧	OH_OO渋谷源氏	2940	2960	I	こと	事	コト	名詞-普通名詞-一般			コト	和
39.05夕霧	OH_OO渋谷源氏	2960	2980	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
39.05夕霧	OH_OO渋谷源氏	2980	3000	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
39.05夕霧	OH_OO渋谷源氏	3000	3020	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
39.05夕霧	OH_OO渋谷源氏	3020	3030	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	3030	3070	I	かうやう	斯樣	カクヨウ	形状詞-一般			コーヨー	混
39.05夕霧	OH_OO渋谷源氏	3070	3080	I	の	の	ノ	助詞-格助詞			ノ	和
39.05夕霧	OH_OO渋谷源氏	3080	3110	I	ためし	例	タメシ	名詞-普通名詞-一般			タメシ	和
39.05夕霧	OH_OO渋谷源氏	3110	3120	I	を	を	ヲ	助詞-格助詞			オ	和
39.05夕霧	OH_OO渋谷源氏	3120	3140	I	聞く	聞く	キク	動詞-一般	文語四段-カ行	連体形-一般	キク	和
39.05夕霧	OH_OO渋谷源氏	3140	3150	I	に	に	ニ	助詞-格助詞			ニ	和
39.05夕霧	OH_OO渋谷源氏	3150	3170	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
39.05夕霧	OH_OO渋谷源氏	3170	3180	I	て	て	テ	助詞-接続助詞			テ	和
39.05夕霧	OH_OO渋谷源氏	3180	3190	I	も	も	モ	助詞-係助詞			モ	和
39.05夕霧	OH_OO渋谷源氏	3190	3200	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	3200	3230	I	亡から	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	未然形-補助	ナカラ	和
39.05夕霧	OH_OO渋谷源氏	3230	3240	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
39.05夕霧	OH_OO渋谷源氏	3240	3250	I	後	後	ノチ	名詞-普通名詞-副詞可能			ノチ	和
39.05夕霧	OH_OO渋谷源氏	3250	3260	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	3260	3320	I	うしろめたう	後ろめたい	ウシロメタイ	形容詞-一般	文語形容詞-ク	連用形-ウ音便	ウシロメトー	和
