05.02若紫	OH_OO渋谷源氏	1590	1610	I	歩き	歩く	アリク	動詞-一般	文語四段-カ行	連用形-一般	アリキ	和
05.02若紫	OH_OO渋谷源氏	1610	1640	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
05.02若紫	OH_OO渋谷源氏	1640	1650	I	。	。		補助記号-句点				記号
05.02若紫	OH_OO渋谷源氏	1650	1680	B	いかが	如何	イカガ	副詞			イカガ	和
05.02若紫	OH_OO渋谷源氏	1680	1720	I	たばかり	たばかる	タバカル	動詞-一般	文語四段-ラ行	連用形-一般	タバカリ	和
05.02若紫	OH_OO渋谷源氏	1720	1740	I	けむ	けむ	ケム	助動詞	文語助動詞-ケム	連体形-一般	ケム	和
05.02若紫	OH_OO渋谷源氏	1740	1750	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	1750	1770	I	いと	いと	イト	副詞			イト	和
05.02若紫	OH_OO渋谷源氏	1770	1810	I	わりなく	わりない	ワリナイ	形容詞-一般	文語形容詞-ク	連用形-一般	ワリナク	和
05.02若紫	OH_OO渋谷源氏	1810	1820	I	て	て	テ	助詞-接続助詞			テ	和
05.02若紫	OH_OO渋谷源氏	1820	1830	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
05.02若紫	OH_OO渋谷源氏	1830	1880	I	たてまつる	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連体形-一般	タテマツル	和
05.02若紫	OH_OO渋谷源氏	1880	1900	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
05.02若紫	OH_OO渋谷源氏	1900	1920	I	さへ	さえ	サエ	助詞-副助詞			サエ	和
05.02若紫	OH_OO渋谷源氏	1920	1930	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	1930	1940	I	現	現	ウツツ	名詞-普通名詞-一般			ウツツ	和
05.02若紫	OH_OO渋谷源氏	1940	1950	I	と	と	ト	助詞-格助詞			ト	和
05.02若紫	OH_OO渋谷源氏	1950	1960	I	は	は	ハ	助詞-係助詞			ワ	和
05.02若紫	OH_OO渋谷源氏	1960	1990	I	おぼえ	覚える	オボエル	動詞-一般	文語下二段-ヤ行	未然形-一般	オボエ	和
05.02若紫	OH_OO渋谷源氏	1990	2000	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
05.02若紫	OH_OO渋谷源氏	2000	2010	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
05.02若紫	OH_OO渋谷源氏	2010	2020	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	2020	2060	I	わびしき	侘しい	ワビシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ワビシキ	和
05.02若紫	OH_OO渋谷源氏	2060	2070	I	や	や	ヤ	助詞-係助詞			ヤ	和
05.02若紫	OH_OO渋谷源氏	2070	2080	I	。	。		補助記号-句点				記号
05.02若紫	OH_OO渋谷源氏	2080	2090	B	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
05.02若紫	OH_OO渋谷源氏	2090	2100	I	も	も	モ	助詞-係助詞			モ	和
05.02若紫	OH_OO渋谷源氏	2100	2110	I	、	、		補助記号-読点				記号
