48.01早蕨	OH_OO渋谷源氏	2000	2030	I	くらし	暮らす	クラス	動詞-一般	文語四段-サ行	連用形-一般	クラシ	和
48.01早蕨	OH_OO渋谷源氏	2030	2040	I	、	、		補助記号-読点				記号
48.01早蕨	OH_OO渋谷源氏	2040	2050	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
48.01早蕨	OH_OO渋谷源氏	2050	2060	I	一	一	ヒト	名詞-数詞			ヒト	和
48.01早蕨	OH_OO渋谷源氏	2060	2070	I	つ	つ	ツ	接尾辞-名詞的-助数詞			ツ	和
48.01早蕨	OH_OO渋谷源氏	2070	2080	I	を	を	ヲ	助詞-格助詞			オ	和
48.01早蕨	OH_OO渋谷源氏	2080	2110	I	くだき	砕く	クダク	動詞-一般	文語四段-カ行	連用形-一般	クダキ	和
48.01早蕨	OH_OO渋谷源氏	2110	2120	I	て	て	テ	助詞-接続助詞			テ	和
48.01早蕨	OH_OO渋谷源氏	2120	2130	I	、	、		補助記号-読点				記号
48.01早蕨	OH_OO渋谷源氏	2130	2140	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
48.01早蕨	OH_OO渋谷源氏	2140	2150	I	の	の	ノ	助詞-格助詞			ノ	和
48.01早蕨	OH_OO渋谷源氏	2150	2200	I	おはしまさ	おわします	オワシマス	動詞-非自立可能	文語四段-サ行	未然形-一般	オワシマサ	和
48.01早蕨	OH_OO渋谷源氏	2200	2210	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
48.01早蕨	OH_OO渋谷源氏	2210	2230	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
48.01早蕨	OH_OO渋谷源氏	2230	2240	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
48.01早蕨	OH_OO渋谷源氏	2240	2250	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
48.01早蕨	OH_OO渋谷源氏	2250	2270	I	悲し	悲しい	カナシイ	形容詞-一般	文語形容詞-シク	語幹-一般	カナシ	和
48.01早蕨	OH_OO渋谷源氏	2270	2280	I	さ	さ	サ	接尾辞-名詞的-一般			サ	和
