22.03玉鬘	OH_OO渋谷源氏	2090	2100	I	に	に	ニ	助詞-接続助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	2100	2110	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	2110	2130	I	帰ら	返る	カエル	動詞-一般	文語四段-ラ行	未然形-一般	カエラ	和
22.03玉鬘	OH_OO渋谷源氏	2130	2140	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
22.03玉鬘	OH_OO渋谷源氏	2140	2150	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	2150	2160	I	も	も	モ	助詞-係助詞			モ	和
22.03玉鬘	OH_OO渋谷源氏	2160	2210	I	はしたなく	はしたない	ハシタナイ	形容詞-一般	文語形容詞-ク	連用形-一般	ハシタナク	和
22.03玉鬘	OH_OO渋谷源氏	2210	2220	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	2220	2250	I	心幼く	心幼い	ココロオサナイ	形容詞-一般	文語形容詞-ク	連用形-一般	ココロオサナク	和
22.03玉鬘	OH_OO渋谷源氏	2250	2270	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
22.03玉鬘	OH_OO渋谷源氏	2270	2290	I	立ち	立つ	タツ	動詞-一般	文語四段-タ行	連用形-一般	タチ	和
22.03玉鬘	OH_OO渋谷源氏	2290	2300	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
22.03玉鬘	OH_OO渋谷源氏	2300	2320	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
22.03玉鬘	OH_OO渋谷源氏	2320	2330	I	を	を	ヲ	助詞-格助詞			オ	和
22.03玉鬘	OH_OO渋谷源氏	2330	2350	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	連体形-一般	オモウ	和
22.03玉鬘	OH_OO渋谷源氏	2350	2360	I	に	に	ニ	助詞-接続助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	2360	2370	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	2370	2390	I	従ひ	従う	シタガウ	動詞-一般	文語四段-ハ行	連用形-一般	シタガイ	和
22.03玉鬘	OH_OO渋谷源氏	2390	2400	I	来	来る	クル	動詞-非自立可能	文語カ行変格	連用形-一般	キ	和
22.03玉鬘	OH_OO渋谷源氏	2400	2420	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	連用形-一般	タリ	和
22.03玉鬘	OH_OO渋谷源氏	2420	2430	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
22.03玉鬘	OH_OO渋谷源氏	2430	2440	I	者	者	モノ	名詞-普通名詞-一般			モノ	和
22.03玉鬘	OH_OO渋谷源氏	2440	2460	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
22.03玉鬘	OH_OO渋谷源氏	2460	2470	I	も	も	モ	助詞-係助詞			モ	和
22.03玉鬘	OH_OO渋谷源氏	2470	2480	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	2480	2490	I	類	類	ルイ	名詞-普通名詞-一般			ルイ	漢
22.03玉鬘	OH_OO渋谷源氏	2490	2500	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	2500	2520	I	触れ	触れる	フレル	動詞-一般	文語下二段-ラ行	連用形-一般	フレ	和
22.03玉鬘	OH_OO渋谷源氏	2520	2530	I	て	て	テ	助詞-接続助詞			テ	和
22.03玉鬘	OH_OO渋谷源氏	2530	2550	I	逃げ	逃げる	ニゲル	動詞-一般	文語下二段-ガ行	連用形-一般	ニゲ	和
22.03玉鬘	OH_OO渋谷源氏	2550	2570	I	去り	去る	サル	動詞-非自立可能	文語四段-ラ行	連用形-一般	サリ	和
22.03玉鬘	OH_OO渋谷源氏	2570	2580	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	2580	2590	I	本	下	モト	名詞-普通名詞-副詞可能			モト	和
22.03玉鬘	OH_OO渋谷源氏	2590	2600	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	2600	2610	I	国	国	クニ	名詞-普通名詞-一般			クニ	和
22.03玉鬘	OH_OO渋谷源氏	2610	2620	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	2620	2640	I	帰り	返る	カエル	動詞-一般	文語四段-ラ行	連用形-一般	カエリ	和
22.03玉鬘	OH_OO渋谷源氏	2640	2660	I	散り	散る	チル	動詞-一般	文語四段-ラ行	連用形-一般	チリ	和
22.03玉鬘	OH_OO渋谷源氏	2660	2670	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
22.03玉鬘	OH_OO渋谷源氏	2670	2680	I	。	。		補助記号-句点				記号
22.03玉鬘	OH_OO渋谷源氏	2680	2700	B	住み	住む	スム	動詞-一般	文語四段-マ行	連用形-一般	スミ	和
22.03玉鬘	OH_OO渋谷源氏	2700	2720	I	つく	付く	ツク	動詞-非自立可能	文語四段-カ行	終止形-一般	ツク	和
22.03玉鬘	OH_OO渋谷源氏	2720	2740	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
22.03玉鬘	OH_OO渋谷源氏	2740	2760	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
22.03玉鬘	OH_OO渋谷源氏	2760	2770	I	も	も	モ	助詞-係助詞			モ	和
22.03玉鬘	OH_OO渋谷源氏	2770	2790	I	なき	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ナキ	和
22.03玉鬘	OH_OO渋谷源氏	2790	2800	I	を	を	ヲ	助詞-格助詞			オ	和
22.03玉鬘	OH_OO渋谷源氏	2800	2810	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	2810	2850	I	母おとど	母大臣	ハハオトド	名詞-普通名詞-一般			ハハオトド	和
22.03玉鬘	OH_OO渋谷源氏	2850	2860	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	2860	2900	I	明け暮れ	明け暮れ	アケクレ	名詞-普通名詞-サ変可能			アケクレ	和
22.03玉鬘	OH_OO渋谷源氏	2900	2920	I	嘆き	嘆く	ナゲク	動詞-一般	文語四段-カ行	連用形-一般	ナゲキ	和
