16.02関屋	OH_OO渋谷源氏	2020	2040	I	数へ	数える	カゾエル	動詞-一般	文語下二段-ハ行	連用形-一般	カゾエ	和
16.02関屋	OH_OO渋谷源氏	2040	2070	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
16.02関屋	OH_OO渋谷源氏	2070	2090	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
16.02関屋	OH_OO渋谷源氏	2090	2100	I	。	。		補助記号-句点				記号
16.02関屋	OH_OO渋谷源氏	2100	2120	B	紀伊	キイ	キイ	名詞-固有名詞-地名-一般			キノ	固
16.02関屋	OH_OO渋谷源氏	2120	2130	I	守	守	カミ	名詞-普通名詞-一般			カミ	和
16.02関屋	OH_OO渋谷源氏	2130	2140	I	と	と	ト	助詞-格助詞			ト	和
16.02関屋	OH_OO渋谷源氏	2140	2160	I	いひ	言う	イウ	動詞-一般	文語四段-ハ行	連用形-一般	イー	和
16.02関屋	OH_OO渋谷源氏	2160	2170	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
16.02関屋	OH_OO渋谷源氏	2170	2180	I	も	も	モ	助詞-係助詞			モ	和
16.02関屋	OH_OO渋谷源氏	2180	2190	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	2190	2200	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
16.02関屋	OH_OO渋谷源氏	2200	2210	I	は	は	ハ	助詞-係助詞			ワ	和
16.02関屋	OH_OO渋谷源氏	2210	2230	I	河内	コウチ	コウチ	名詞-固有名詞-地名-一般			コーチ	固
16.02関屋	OH_OO渋谷源氏	2230	2240	I	守	守	カミ	名詞-普通名詞-一般			カミ	和
16.02関屋	OH_OO渋谷源氏	2240	2250	I	に	に	ニ	助詞-格助詞			ニ	和
16.02関屋	OH_OO渋谷源氏	2250	2260	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
16.02関屋	OH_OO渋谷源氏	2260	2280	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
16.02関屋	OH_OO渋谷源氏	2280	2290	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
16.02関屋	OH_OO渋谷源氏	2290	2310	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
16.02関屋	OH_OO渋谷源氏	2310	2320	I	。	。		補助記号-句点				記号
16.02関屋	OH_OO渋谷源氏	2320	2330	B	そ	其	ソ	代名詞			ソ	和
16.02関屋	OH_OO渋谷源氏	2330	2340	I	の	の	ノ	助詞-格助詞			ノ	和
16.02関屋	OH_OO渋谷源氏	2340	2350	I	弟	弟	オトウト	名詞-普通名詞-一般			オトト	和
16.02関屋	OH_OO渋谷源氏	2350	2360	I	の	の	ノ	助詞-格助詞			ノ	和
16.02関屋	OH_OO渋谷源氏	2360	2380	I	右近	右近	ウコン	名詞-普通名詞-一般			ウコン	漢
16.02関屋	OH_OO渋谷源氏	2380	2400	I	将監	判官	ジョウ	名詞-普通名詞-一般			ゾー	漢
16.02関屋	OH_OO渋谷源氏	2400	2420	I	解け	解ける	トケル	動詞-一般	文語下二段-カ行	連用形-一般	トケ	和
16.02関屋	OH_OO渋谷源氏	2420	2430	I	て	て	テ	助詞-接続助詞			テ	和
16.02関屋	OH_OO渋谷源氏	2430	2440	I	御	御	オオン	接頭辞			オオン	和
16.02関屋	OH_OO渋谷源氏	2440	2450	I	供	供	トモ	名詞-普通名詞-一般			トモ	和
16.02関屋	OH_OO渋谷源氏	2450	2460	I	に	に	ニ	助詞-格助詞			ニ	和
16.02関屋	OH_OO渋谷源氏	2460	2480	I	下り	下る	クダル	動詞-一般	文語四段-ラ行	連用形-一般	クダリ	和
16.02関屋	OH_OO渋谷源氏	2480	2490	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
16.02関屋	OH_OO渋谷源氏	2490	2500	I	を	を	ヲ	助詞-格助詞			オ	和
16.02関屋	OH_OO渋谷源氏	2500	2510	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
16.02関屋	OH_OO渋谷源氏	2510	2520	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	2520	2540	I	とり	取る	トル	動詞-一般	文語四段-ラ行	連用形-一般	トリ	和
16.02関屋	OH_OO渋谷源氏	2540	2560	I	わき	分く	ワク	動詞-一般	文語四段-カ行	連用形-一般	ワキ	和
16.02関屋	OH_OO渋谷源氏	2560	2570	I	て	て	テ	助詞-接続助詞			テ	和
16.02関屋	OH_OO渋谷源氏	2570	2590	I	なし	成す	ナス	動詞-一般	文語四段-サ行	連用形-一般	ナシ	和
16.02関屋	OH_OO渋谷源氏	2590	2610	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
16.02関屋	OH_OO渋谷源氏	2610	2640	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
16.02関屋	OH_OO渋谷源氏	2640	2660	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
16.02関屋	OH_OO渋谷源氏	2660	2670	I	ば	ば	バ	助詞-接続助詞			バ	和
16.02関屋	OH_OO渋谷源氏	2670	2680	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	2680	2700	I	それ	其れ	ソレ	代名詞			ソレ	和
16.02関屋	OH_OO渋谷源氏	2700	2710	I	に	に	ニ	助詞-格助詞			ニ	和
16.02関屋	OH_OO渋谷源氏	2710	2720	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
16.02関屋	OH_OO渋谷源氏	2720	2730	I	誰	誰	ダレ	代名詞			タレ	和
16.02関屋	OH_OO渋谷源氏	2730	2740	I	も	も	モ	助詞-係助詞			モ	和
16.02関屋	OH_OO渋谷源氏	2740	2760	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
16.02関屋	OH_OO渋谷源氏	2760	2780	I	知り	知る	シル	動詞-一般	文語四段-ラ行	連用形-一般	シリ	和
16.02関屋	OH_OO渋谷源氏	2780	2790	I	て	て	テ	助詞-接続助詞			テ	和
16.02関屋	OH_OO渋谷源氏	2790	2800	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	2800	2810	I	「	「		補助記号-括弧開				記号
16.02関屋	OH_OO渋谷源氏	2810	2830	I	など	など	ナド	副詞			ナド	和
16.02関屋	OH_OO渋谷源氏	2830	2840	I	て	て	テ	助詞-接続助詞			テ	和
16.02関屋	OH_OO渋谷源氏	2840	2870	I	すこし	少し	スコシ	副詞			スコシ	和
16.02関屋	OH_OO渋谷源氏	2870	2880	I	も	も	モ	助詞-係助詞			モ	和
16.02関屋	OH_OO渋谷源氏	2880	2890	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	2890	2900	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
16.02関屋	OH_OO渋谷源氏	2900	2910	I	に	に	ニ	助詞-格助詞			ニ	和
16.02関屋	OH_OO渋谷源氏	2910	2930	I	従ふ	従う	シタガウ	動詞-一般	文語四段-ハ行	連体形-一般	シタガウ	和
16.02関屋	OH_OO渋谷源氏	2930	2940	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
16.02関屋	OH_OO渋谷源氏	2940	2950	I	を	を	ヲ	助詞-格助詞			オ	和
16.02関屋	OH_OO渋谷源氏	2950	2980	I	つかひ	使う	ツカウ	動詞-一般	文語四段-ハ行	連用形-一般	ツカイ	和
16.02関屋	OH_OO渋谷源氏	2980	3000	I	けむ	けむ	ケム	助動詞	文語助動詞-ケム	連体形-一般	ケム	和
16.02関屋	OH_OO渋谷源氏	3000	3010	I	」	」		補助記号-括弧閉				記号
16.02関屋	OH_OO渋谷源氏	3010	3030	I	など	など	ナド	助詞-副助詞			ナド	和
16.02関屋	OH_OO渋谷源氏	3030	3040	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	3040	3060	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
16.02関屋	OH_OO渋谷源氏	3060	3080	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
16.02関屋	OH_OO渋谷源氏	3080	3100	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
16.02関屋	OH_OO渋谷源氏	3100	3110	I	。	。		補助記号-句点				記号
16.02関屋	OH_OO渋谷源氏	3110	3120	B	佐	助	スケ	名詞-普通名詞-一般			スケ	和
16.02関屋	OH_OO渋谷源氏	3120	3140	I	召し	召す	メス	動詞-一般	文語四段-サ行	連用形-一般	メシ	和
16.02関屋	OH_OO渋谷源氏	3140	3160	I	寄せ	寄せる	ヨセル	動詞-一般	文語下二段-サ行	連用形-一般	ヨセ	和
16.02関屋	OH_OO渋谷源氏	3160	3170	I	て	て	テ	助詞-接続助詞			テ	和
16.02関屋	OH_OO渋谷源氏	3170	3180	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	3180	3190	I	御	御	オオン	接頭辞			オオン	和
16.02関屋	OH_OO渋谷源氏	3190	3210	I	消息	消息	ショウソク	名詞-普通名詞-一般			ショーソコ	漢
16.02関屋	OH_OO渋谷源氏	3210	3230	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	終止形-一般	アリ	和
16.02関屋	OH_OO渋谷源氏	3230	3240	I	。	。		補助記号-句点				記号
16.02関屋	OH_OO渋谷源氏	3240	3250	B	「	「		補助記号-括弧開				記号
