34.01若菜上	OH_OO渋谷源氏	2550	2560	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
34.01若菜上	OH_OO渋谷源氏	2560	2570	I	に	に	ニ	助詞-格助詞			ニ	和
34.01若菜上	OH_OO渋谷源氏	2570	2580	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	2580	2600	I	藤壺	藤壺	フジツボ	名詞-固有名詞-一般			フジツボ	固
34.01若菜上	OH_OO渋谷源氏	2600	2610	I	と	と	ト	助詞-格助詞			ト	和
34.01若菜上	OH_OO渋谷源氏	2610	2640	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
34.01若菜上	OH_OO渋谷源氏	2640	2650	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
34.01若菜上	OH_OO渋谷源氏	2650	2660	I	は	は	ハ	助詞-係助詞			ワ	和
34.01若菜上	OH_OO渋谷源氏	2660	2670	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	2670	2690	I	先帝	先帝	センテイ	名詞-普通名詞-一般			センダイ	漢
34.01若菜上	OH_OO渋谷源氏	2690	2700	I	の	の	ノ	助詞-格助詞			ノ	和
34.01若菜上	OH_OO渋谷源氏	2700	2710	I	源	ゲン	ゲン	名詞-固有名詞-人名-姓			ゲン	固
34.01若菜上	OH_OO渋谷源氏	2710	2720	I	氏	氏	シ	接尾辞-名詞的-一般			ジ	漢
34.01若菜上	OH_OO渋谷源氏	2720	2730	I	に	に	ニ	助詞-格助詞			ニ	和
34.01若菜上	OH_OO渋谷源氏	2730	2740	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
34.01若菜上	OH_OO渋谷源氏	2740	2790	I	おはしまし	おわします	オワシマス	動詞-非自立可能	文語四段-サ行	連用形-一般	オワシマシ	和
34.01若菜上	OH_OO渋谷源氏	2790	2810	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
34.01若菜上	OH_OO渋谷源氏	2810	2820	I	。	。		補助記号-句点				記号
34.01若菜上	OH_OO渋谷源氏	2820	2840	B	まだ	未だ	マダ	副詞			マダ	和
34.01若菜上	OH_OO渋谷源氏	2840	2850	I	坊	坊	ボウ	名詞-普通名詞-一般			ボー	漢
34.01若菜上	OH_OO渋谷源氏	2850	2860	I	と	と	ト	助詞-格助詞			ト	和
34.01若菜上	OH_OO渋谷源氏	2860	2890	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	未然形-一般	キコエ	和
34.01若菜上	OH_OO渋谷源氏	2890	2910	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
34.01若菜上	OH_OO渋谷源氏	2910	2920	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
34.01若菜上	OH_OO渋谷源氏	2920	2930	I	時	時	トキ	名詞-普通名詞-副詞可能			トキ	和
34.01若菜上	OH_OO渋谷源氏	2930	2950	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
